step,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,8.339213,8.341460,0.000000e+00,44330.7,0.836
1,8.344686,,7.500000e-05,47886.3,0.837
2,7.060778,,1.500000e-04,48160.4,0.837
3,6.595156,,2.250000e-04,48684.3,0.837
4,6.605644,,3.000000e-04,48827.5,0.837
5,6.223843,,3.750000e-04,48823.4,0.837
6,6.024031,,4.500000e-04,49111.4,0.837
7,5.576356,,5.250000e-04,49066.1,0.837
8,7.674463,,6.000000e-04,48254.6,0.837
9,5.217250,,6.750000e-04,48900.8,0.837
10,4.956048,,7.500000e-04,48722.9,0.837
11,4.544792,,8.250000e-04,48801.7,0.837
12,4.409279,,9.000000e-04,49162.2,0.837
13,4.206849,,9.750000e-04,48979.0,0.837
14,4.068843,,1.050000e-03,48725.1,0.837
15,3.849485,,1.125000e-03,48757.0,0.837
16,3.885797,,1.200000e-03,48670.7,0.837
17,3.795420,,1.275000e-03,48456.7,0.837
18,3.886563,,1.350000e-03,48180.4,0.837
19,3.718715,,1.425000e-03,48414.5,0.837
20,3.669328,,1.500000e-03,48728.9,0.837
21,3.724058,,1.575000e-03,47993.1,0.837
22,3.637551,,1.650000e-03,48191.5,0.837
23,3.532742,,1.725000e-03,47944.3,0.837
24,3.520005,,1.800000e-03,47688.3,0.837
25,3.416663,,1.875000e-03,47886.7,0.837
26,3.397355,,1.950000e-03,47989.6,0.837
27,3.332502,,2.025000e-03,47908.4,0.837
28,3.350206,,2.100000e-03,47600.8,0.837
29,3.287835,,2.175000e-03,47869.3,0.837
30,3.222377,,2.250000e-03,47753.5,0.837
31,3.298549,,2.325000e-03,48096.9,0.837
32,3.361881,,2.400000e-03,47993.5,0.837
33,3.275421,,2.475000e-03,47997.5,0.837
34,3.135415,,2.550000e-03,48279.4,0.837
35,3.093925,,2.625000e-03,48181.1,0.837
36,3.095308,,2.700000e-03,48035.3,0.837
37,3.058119,,2.775000e-03,48329.3,0.837
38,3.022982,,2.850000e-03,48462.1,0.837
39,3.003781,,2.925000e-03,48580.6,0.837
40,2.919154,,3.000000e-03,48333.7,0.837
41,3.010378,,2.999988e-03,48550.4,0.837
42,2.977373,,2.999954e-03,48442.9,0.837
43,2.984628,,2.999896e-03,48287.4,0.837
44,2.931300,,2.999816e-03,48829.1,0.837
45,2.913772,,2.999712e-03,48697.6,0.837
46,2.800202,,2.999586e-03,48584.9,0.837
47,2.896547,,2.999436e-03,48692.3,0.837
48,2.730702,,2.999264e-03,48595.7,0.837
49,2.805848,,2.999068e-03,48687.4,0.837
50,2.712041,2.785314,2.998850e-03,48780.4,0.837
51,2.690272,,2.998608e-03,49211.6,0.837
52,2.682812,,2.998344e-03,48743.1,0.837
53,2.755148,,2.998056e-03,48670.9,0.837
54,2.738200,,2.997746e-03,48769.0,0.837
55,2.684557,,2.997413e-03,48658.5,0.837
56,2.712826,,2.997056e-03,48698.7,0.837
57,2.615700,,2.996677e-03,48705.5,0.837
58,2.594579,,2.996275e-03,48575.9,0.837
59,2.590261,,2.995849e-03,48757.5,0.837
60,2.699346,,2.995401e-03,48697.9,0.837
61,2.541870,,2.994930e-03,48608.6,0.837
62,2.564178,,2.994436e-03,48666.0,0.837
63,2.581170,,2.993919e-03,48727.7,0.837
64,2.560939,,2.993379e-03,48787.6,0.837
65,2.578251,,2.992817e-03,48681.2,0.837
66,2.494293,,2.992231e-03,48794.5,0.837
67,2.510339,,2.991623e-03,48546.2,0.837
68,2.524118,,2.990991e-03,49035.3,0.837
69,2.445477,,2.990337e-03,48621.2,0.837
70,2.494641,,2.989660e-03,48801.7,0.837
71,2.551310,,2.988960e-03,48720.3,0.837
72,2.489615,,2.988237e-03,48646.3,0.837
73,2.535178,,2.987492e-03,48684.5,0.837
74,2.504004,,2.986724e-03,48815.8,0.837
75,2.532444,,2.985933e-03,48859.9,0.837
76,2.497460,,2.985119e-03,48689.9,0.837
77,2.502534,,2.984282e-03,48747.5,0.837
78,2.481390,,2.983423e-03,48737.2,0.837
79,2.493905,,2.982541e-03,48687.7,0.837
80,2.427006,,2.981636e-03,48719.0,0.837
81,2.360625,,2.980709e-03,48711.9,0.837
82,2.523575,,2.979758e-03,48551.0,0.837
83,2.472606,,2.978786e-03,48660.6,0.837
84,2.426551,,2.977790e-03,48648.1,0.837
85,2.429425,,2.976772e-03,48769.5,0.837
86,2.325967,,2.975731e-03,48757.7,0.837
87,2.375238,,2.974668e-03,48695.2,0.837
88,2.313979,,2.973582e-03,48665.5,0.837
89,2.313567,,2.972474e-03,48736.3,0.837
90,2.304049,,2.971343e-03,48509.2,0.837
91,2.342539,,2.970189e-03,48707.3,0.837
92,2.273840,,2.969014e-03,48648.4,0.837
93,2.330424,,2.967815e-03,48871.5,0.837
94,2.369483,,2.966594e-03,48716.2,0.837
95,2.353531,,2.965351e-03,48775.9,0.837
96,2.305168,,2.964085e-03,48339.0,0.837
97,2.235697,,2.962797e-03,48769.1,0.837
98,2.279487,,2.961486e-03,48768.0,0.837
99,2.208379,,2.960154e-03,48454.8,0.837
100,2.292389,2.286592,2.958798e-03,48605.8,0.837
101,2.228902,,2.957421e-03,49093.7,0.837
102,2.269985,,2.956021e-03,49134.8,0.837
103,2.247047,,2.954599e-03,49104.4,0.837
104,2.265343,,2.953155e-03,48786.8,0.837
105,2.221492,,2.951688e-03,49137.0,0.837
106,2.279575,,2.950200e-03,49095.0,0.837
107,2.235123,,2.948689e-03,49195.1,0.837
108,2.182208,,2.947156e-03,49133.5,0.837
109,2.162741,,2.945601e-03,49160.6,0.837
110,2.138422,,2.944023e-03,49076.5,0.837
111,2.114973,,2.942424e-03,49059.3,0.837
112,2.136557,,2.940803e-03,49182.2,0.837
113,2.163160,,2.939160e-03,49110.1,0.837
114,2.130515,,2.937495e-03,49021.8,0.837
115,2.162071,,2.935807e-03,49038.4,0.837
116,2.170369,,2.934098e-03,48912.5,0.837
117,2.185370,,2.932367e-03,48813.1,0.837
118,2.221465,,2.930615e-03,49071.9,0.837
119,2.122292,,2.928840e-03,49023.7,0.837
120,2.186499,,2.927044e-03,49028.6,0.837
121,2.147272,,2.925225e-03,48659.0,0.837
122,2.141233,,2.923386e-03,48677.6,0.837
123,2.112578,,2.921524e-03,48866.9,0.837
124,2.006153,,2.919641e-03,48816.2,0.837
125,2.137993,,2.917736e-03,48660.4,0.837
126,2.075888,,2.915809e-03,48749.6,0.837
127,2.095225,,2.913861e-03,48764.1,0.837
128,2.075204,,2.911891e-03,48708.8,0.837
129,2.103101,,2.909900e-03,48763.6,0.837
130,2.076104,,2.907888e-03,48725.8,0.837
131,2.113545,,2.905854e-03,48843.6,0.837
132,2.088027,,2.903798e-03,48634.6,0.837
133,2.102791,,2.901721e-03,48750.0,0.837
134,2.113936,,2.899623e-03,48792.6,0.837
135,2.010962,,2.897504e-03,48852.0,0.837
136,2.012373,,2.895363e-03,48619.6,0.837
137,1.970153,,2.893201e-03,48773.2,0.837
138,2.025248,,2.891018e-03,48685.4,0.837
139,1.991271,,2.888814e-03,48769.3,0.837
140,1.964877,,2.886588e-03,48608.5,0.837
141,1.993862,,2.884342e-03,48813.6,0.837
142,2.002053,,2.882074e-03,48966.6,0.837
143,2.028991,,2.879786e-03,48761.4,0.837
144,1.974140,,2.877476e-03,48611.5,0.837
145,1.968433,,2.875146e-03,48677.4,0.837
146,2.061531,,2.872795e-03,48627.8,0.837
147,1.978967,,2.870423e-03,48715.6,0.837
148,1.903674,,2.868030e-03,48537.3,0.837
149,1.935123,,2.865616e-03,48991.6,0.837
150,1.975497,1.999010,2.863182e-03,48505.2,0.837
151,1.962494,,2.860727e-03,49171.6,0.837
152,1.964906,,2.858251e-03,48717.7,0.837
153,1.925049,,2.855755e-03,49063.6,0.837
154,1.965682,,2.853238e-03,49095.7,0.837
155,1.959081,,2.850701e-03,49057.7,0.837
156,1.954646,,2.848143e-03,49107.7,0.837
157,1.903842,,2.845565e-03,49090.5,0.837
158,1.929832,,2.842966e-03,49118.5,0.837
159,1.913590,,2.840347e-03,48827.2,0.837
160,1.854769,,2.837708e-03,49122.2,0.837
161,1.900234,,2.835049e-03,49164.8,0.837
162,1.914728,,2.832369e-03,49148.9,0.837
163,1.795962,,2.829669e-03,49109.9,0.837
164,1.915359,,2.826949e-03,49071.3,0.837
165,1.834011,,2.824209e-03,49138.3,0.837
166,1.894976,,2.821450e-03,49052.2,0.837
167,1.852839,,2.818670e-03,49171.4,0.837
168,1.914884,,2.815870e-03,49083.4,0.837
169,1.897260,,2.813050e-03,49179.4,0.837
170,1.839301,,2.810211e-03,49131.9,0.837
