step,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,8.420005,8.416707,0.000000e+00,244660.6,4.867
1,8.416597,,7.500000e-05,989495.6,4.876
2,7.170902,,1.500000e-04,992543.3,4.876
3,6.601043,,2.250000e-04,992163.5,4.876
4,6.425275,,3.000000e-04,994031.0,4.876
5,6.122414,,3.750000e-04,995123.2,4.876
6,5.891866,,4.500000e-04,995440.3,4.876
7,5.575883,,5.250000e-04,994784.7,4.876
8,5.478363,,6.000000e-04,994640.7,4.876
9,5.005053,,6.750000e-04,994523.7,4.876
10,4.776418,,7.500000e-04,992968.1,4.876
11,4.309064,,8.250000e-04,993813.6,4.876
12,5.234301,,9.000000e-04,993991.5,4.876
13,4.218539,,9.750000e-04,993328.8,4.876
14,3.950545,,1.050000e-03,994185.6,4.876
15,3.687739,,1.125000e-03,994412.2,4.876
16,3.712681,,1.200000e-03,993644.7,4.876
17,3.692715,,1.275000e-03,992787.0,4.876
18,3.586285,,1.350000e-03,990624.2,4.876
19,3.442599,,1.425000e-03,993384.4,4.876
20,3.403591,,1.500000e-03,994486.0,4.876
21,3.478281,,1.575000e-03,994732.5,4.876
22,3.530813,,1.650000e-03,994700.1,4.876
23,3.241174,,1.725000e-03,993826.2,4.876
24,3.203904,,1.800000e-03,994043.6,4.876
25,3.143773,,1.875000e-03,994036.4,4.876
26,3.096573,,1.950000e-03,992858.7,4.876
27,2.983483,,2.025000e-03,995015.1,4.876
28,3.046712,,2.100000e-03,993986.1,4.876
29,2.946775,,2.175000e-03,994525.5,4.876
30,2.856266,,2.250000e-03,994653.3,4.876
31,2.913483,,2.325000e-03,993989.7,4.876
32,2.819902,,2.400000e-03,992425.0,4.876
33,2.806172,,2.475000e-03,993117.0,4.876
34,2.739883,,2.550000e-03,993731.0,4.876
35,2.687806,,2.625000e-03,994865.7,4.876
36,2.747108,,2.700000e-03,994876.5,4.876
37,2.662980,,2.775000e-03,994523.7,4.876
38,2.668785,,2.850000e-03,992952.0,4.876
39,2.655386,,2.925000e-03,990799.2,4.876
40,2.554660,,3.000000e-03,989739.6,4.876
41,2.721986,,2.999988e-03,990470.7,4.876
42,2.679448,,2.999954e-03,994040.0,4.876
43,2.668701,,2.999896e-03,993510.1,4.876
44,2.617559,,2.999816e-03,993059.6,4.876
45,2.565796,,2.999712e-03,991276.2,4.876
46,2.473164,,2.999586e-03,991807.3,4.876
47,2.574369,,2.999436e-03,991814.5,4.876
48,2.419596,,2.999264e-03,993011.2,4.876
49,2.494139,,2.999068e-03,991898.6,4.876
50,2.413507,2.466922,2.998850e-03,994331.3,4.876
51,2.374243,,2.998608e-03,989834.1,4.876
52,2.405320,,2.998344e-03,993100.9,4.876
53,2.432076,,2.998056e-03,994219.8,4.876
54,2.421689,,2.997746e-03,993854.9,4.876
55,2.357350,,2.997413e-03,992683.0,4.876
56,2.392347,,2.997056e-03,990402.9,4.876
57,2.297740,,2.996677e-03,993630.4,4.876
58,2.268739,,2.996275e-03,995490.8,4.876
59,2.258422,,2.995849e-03,994191.0,4.876
60,2.322407,,2.995401e-03,994943.1,4.876
61,2.240420,,2.994930e-03,993984.3,4.876
62,2.242446,,2.994436e-03,995020.5,4.876
63,2.248421,,2.993919e-03,991181.4,4.876
64,2.246930,,2.993379e-03,995298.0,4.876
65,2.256652,,2.992817e-03,993763.3,4.876
66,2.179704,,2.992231e-03,994809.9,4.876
67,2.191008,,2.991623e-03,994653.3,4.876
68,2.204657,,2.990991e-03,995206.1,4.876
69,2.128223,,2.990337e-03,995051.2,4.876
70,2.162356,,2.989660e-03,994790.1,4.876
71,2.225195,,2.988960e-03,995020.5,4.876
72,2.139347,,2.988237e-03,994406.8,4.876
73,2.193111,,2.987492e-03,993824.4,4.876
74,2.149799,,2.986724e-03,992783.4,4.876
75,2.160143,,2.985933e-03,993642.9,4.876
76,2.105809,,2.985119e-03,992541.5,4.876
77,2.113400,,2.984282e-03,993423.9,4.876
78,2.086974,,2.983423e-03,993704.0,4.876
79,2.125301,,2.982541e-03,994921.5,4.876
80,2.040717,,2.981636e-03,991152.9,4.876
81,1.970638,,2.980709e-03,994205.4,4.876
82,2.096854,,2.979758e-03,993684.3,4.876
83,2.058188,,2.978786e-03,992229.8,4.876
84,2.021553,,2.977790e-03,986369.2,4.876
85,2.045190,,2.976772e-03,993090.1,4.876
86,1.991823,,2.975731e-03,993883.7,4.876
87,2.005546,,2.974668e-03,993987.9,4.876
88,1.952661,,2.973582e-03,994597.5,4.876
89,1.968371,,2.972474e-03,994896.3,4.876
90,1.950510,,2.971343e-03,994793.7,4.876
91,1.974371,,2.970189e-03,995312.4,4.876
92,1.938147,,2.969014e-03,993878.3,4.876
93,1.929116,,2.967815e-03,994698.3,4.876
94,1.969803,,2.966594e-03,994401.4,4.876
95,1.980887,,2.965351e-03,994536.3,4.876
96,1.938757,,2.964085e-03,994527.3,4.876
97,1.858093,,2.962797e-03,992606.0,4.876
98,1.887001,,2.961486e-03,995644.0,4.876
99,1.813326,,2.960154e-03,994813.5,4.876
100,1.915721,1.900533,2.958798e-03,994502.1,4.876
101,1.837577,,2.957421e-03,974889.5,4.876
102,1.864826,,2.956021e-03,991971.9,4.876
103,1.849532,,2.954599e-03,992260.2,4.876
104,1.891869,,2.953155e-03,990452.9,4.876
105,1.832573,,2.951688e-03,992448.3,4.876
106,1.877980,,2.950200e-03,993524.4,4.876
107,1.832499,,2.948689e-03,994058.0,4.876
108,1.813578,,2.947156e-03,994180.2,4.876
109,1.838406,,2.945601e-03,994333.1,4.876
110,1.786676,,2.944023e-03,992810.3,4.876
111,1.783718,,2.942424e-03,994209.0,4.876
112,1.808921,,2.940803e-03,993729.2,4.876
113,1.833606,,2.939160e-03,994020.2,4.876
114,1.821197,,2.937495e-03,994955.7,4.876
115,1.831984,,2.935807e-03,994824.3,4.876
116,1.848084,,2.934098e-03,993781.3,4.876
117,1.841640,,2.932367e-03,992760.1,4.876
118,1.850645,,2.930615e-03,993720.2,4.876
119,1.773085,,2.928840e-03,993932.2,4.876
120,1.820693,,2.927044e-03,993282.1,4.876
121,1.797498,,2.925225e-03,994236.0,4.876
