step,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,8.411711,8.410526,0.000000e+00,141472.8,0.345
1,8.413989,,7.500000e-05,221237.2,0.344
2,8.034555,,1.500000e-04,217297.4,0.344
3,7.698044,,2.250000e-04,218989.1,0.344
4,7.531979,,3.000000e-04,219390.5,0.344
5,7.399454,,3.750000e-04,218262.6,0.344
6,7.290046,,4.500000e-04,219695.3,0.344
7,7.128042,,5.250000e-04,217647.8,0.344
8,7.052066,,6.000000e-04,216935.0,0.344
9,6.855447,,6.750000e-04,217479.3,0.344
10,6.662536,,7.500000e-04,216611.2,0.344
11,6.452405,,8.250000e-04,219405.6,0.344
12,6.298509,,9.000000e-04,216589.0,0.344
13,6.060640,,9.750000e-04,217216.8,0.344
14,5.844983,,1.050000e-03,217202.7,0.344
15,5.528782,,1.125000e-03,216666.2,0.344
16,5.341003,,1.200000e-03,216320.2,0.344
17,5.134315,,1.275000e-03,216869.1,0.344
18,4.854624,,1.350000e-03,216848.7,0.344
19,4.599504,,1.425000e-03,216600.0,0.344
20,4.408633,,1.500000e-03,217795.1,0.344
21,4.208168,,1.575000e-03,214493.8,0.344
22,4.104717,,1.650000e-03,215705.0,0.344
23,3.882593,,1.725000e-03,215397.9,0.344
24,3.765152,,1.800000e-03,214526.0,0.344
25,3.620850,,1.875000e-03,215582.3,0.344
26,3.477445,,1.950000e-03,215345.8,0.344
27,3.362360,,2.025000e-03,215244.4,0.344
28,3.311323,,2.100000e-03,214820.9,0.344
29,3.224512,,2.175000e-03,216140.6,0.344
30,3.141025,,2.250000e-03,215462.5,0.344
31,3.147641,,2.325000e-03,216691.8,0.344
32,3.079583,,2.400000e-03,215330.3,0.344
33,3.118160,,2.475000e-03,216293.9,0.344
34,2.955232,,2.550000e-03,216316.7,0.344
35,2.889243,,2.625000e-03,216248.0,0.344
36,2.865074,,2.700000e-03,215630.4,0.344
37,2.832263,,2.775000e-03,216219.2,0.344
38,2.798958,,2.850000e-03,216435.0,0.344
39,2.837403,,2.925000e-03,214720.5,0.344
40,2.694146,,3.000000e-03,216693.6,0.344
41,2.799484,,2.999988e-03,216963.9,0.344
42,2.742904,,2.999954e-03,216258.6,0.344
43,2.729666,,2.999896e-03,217115.5,0.344
44,2.684726,,2.999816e-03,215992.5,0.344
45,2.656610,,2.999712e-03,216718.4,0.344
46,2.532848,,2.999586e-03,215375.3,0.344
47,2.657037,,2.999436e-03,217821.2,0.344
48,2.473200,,2.999264e-03,217048.7,0.344
49,2.572129,,2.999068e-03,217401.7,0.344
50,2.498641,2.568269,2.998850e-03,218046.1,0.344
51,2.470929,,2.998608e-03,220564.1,0.344
52,2.480859,,2.998344e-03,217133.9,0.344
53,2.530720,,2.998056e-03,219050.5,0.344
54,2.526654,,2.997746e-03,217643.3,0.344
55,2.461417,,2.997413e-03,215678.8,0.344
56,2.503715,,2.997056e-03,217655.9,0.344
57,2.426767,,2.996677e-03,217192.7,0.344
58,2.416909,,2.996275e-03,218588.4,0.344
59,2.384256,,2.995849e-03,217464.3,0.344
60,2.476357,,2.995401e-03,217012.4,0.344
61,2.370867,,2.994930e-03,219339.4,0.344
62,2.384099,,2.994436e-03,218301.8,0.344
63,2.389242,,2.993919e-03,217208.7,0.344
64,2.382531,,2.993379e-03,218933.2,0.344
65,2.404263,,2.992817e-03,218000.2,0.344
66,2.350821,,2.992231e-03,219132.4,0.344
67,2.336531,,2.991623e-03,219952.3,0.344
68,2.355143,,2.990991e-03,219477.3,0.344
69,2.277156,,2.990337e-03,219790.6,0.344
70,2.317084,,2.989660e-03,217985.5,0.344
71,2.370448,,2.988960e-03,219654.3,0.344
72,2.313485,,2.988237e-03,218318.8,0.344
73,2.354345,,2.987492e-03,220368.6,0.344
74,2.300041,,2.986724e-03,218302.2,0.344
75,2.322141,,2.985933e-03,220664.0,0.344
76,2.280079,,2.985119e-03,218734.2,0.344
77,2.291045,,2.984282e-03,219791.6,0.344
78,2.279912,,2.983423e-03,218895.2,0.344
79,2.286705,,2.982541e-03,219799.4,0.344
80,2.220468,,2.981636e-03,219286.1,0.344
81,2.163152,,2.980709e-03,219672.6,0.344
82,2.292200,,2.979758e-03,219002.0,0.344
83,2.264000,,2.978786e-03,219227.3,0.344
84,2.220948,,2.977790e-03,220014.6,0.344
85,2.218075,,2.976772e-03,220599.4,0.344
86,2.125994,,2.975731e-03,220053.1,0.344
87,2.186945,,2.974668e-03,218715.1,0.344
88,2.109125,,2.973582e-03,220222.2,0.344
89,2.127893,,2.972474e-03,219692.4,0.344
90,2.107719,,2.971343e-03,221494.1,0.344
91,2.137124,,2.970189e-03,221882.7,0.344
92,2.098675,,2.969014e-03,220106.1,0.344
93,2.125570,,2.967815e-03,220873.6,0.344
94,2.157592,,2.966594e-03,219702.0,0.344
