step,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,8.411707,8.410526,0.000000e+00,257538.8,3.110
1,8.413987,,2.500000e-05,1462703.9,3.662
2,8.263652,,5.000000e-05,1466430.0,3.662
3,8.021203,,7.500000e-05,1465683.3,3.662
4,7.822867,,1.000000e-04,1469542.4,3.662
5,7.652096,,1.250000e-04,1464757.8,3.662
6,7.537642,,1.500000e-04,1472810.1,3.662
7,7.430259,,1.750000e-04,1456113.9,3.662
8,7.374871,,2.000000e-04,1474481.0,3.662
9,7.309900,,2.250000e-04,1473046.8,3.662
10,7.212466,,2.500000e-04,1472025.3,3.662
11,7.109241,,2.750000e-04,1465941.2,3.662
12,7.050403,,3.000000e-04,1470517.2,3.662
13,6.939751,,3.250000e-04,1478231.6,3.662
14,6.854150,,3.500000e-04,1479460.8,3.662
15,6.693620,,3.750000e-04,1475973.4,3.662
16,6.616548,,4.000000e-04,1474488.9,3.662
17,6.507360,,4.250000e-04,1478418.4,3.662
18,6.387805,,4.500000e-04,1481969.4,3.662
19,6.248206,,4.750000e-04,1480791.8,3.662
20,6.112194,,5.000000e-04,1478796.2,3.662
21,5.993323,,5.250000e-04,1479138.4,3.662
22,5.882772,,5.500000e-04,1481897.5,3.662
23,5.691821,,5.750000e-04,1481929.5,3.662
24,5.547821,,6.000000e-04,1479405.1,3.662
25,5.388871,,6.250000e-04,1481877.5,3.662
26,5.208720,,6.500000e-04,1474259.6,3.662
27,5.045981,,6.750000e-04,1480293.4,3.662
28,4.935352,,7.000000e-04,1476877.4,3.662
29,4.775498,,7.250000e-04,1476528.4,3.662
30,4.609088,,7.500000e-04,1471123.2,3.662
31,4.525725,,7.750000e-04,1478080.6,3.662
32,4.387869,,8.000000e-04,1482397.0,3.662
33,4.271235,,8.250000e-04,1485433.1,3.662
34,4.092497,,8.500000e-04,1483276.9,3.662
35,3.978524,,8.750000e-04,1484999.7,3.662
36,3.887808,,9.000000e-04,1482972.8,3.662
37,3.773976,,9.250000e-04,1481210.8,3.662
38,3.635460,,9.500000e-04,1478828.1,3.662
39,3.581163,,9.750000e-04,1471741.6,3.662
40,3.435360,,1.000000e-03,1484907.5,3.662
41,3.450312,,9.999962e-04,1484646.8,3.662
42,3.367749,,9.999847e-04,1477762.7,3.662
43,3.358552,,9.999655e-04,1482117.2,3.662
44,3.229770,,9.999386e-04,1486200.1,3.662
45,3.180139,,9.999041e-04,1489251.8,3.662
46,3.027348,,9.998620e-04,1487128.8,3.662
47,3.106653,,9.998121e-04,1485597.7,3.662
48,2.907539,,9.997546e-04,1484819.3,3.662
49,2.962702,,9.996894e-04,1488364.8,3.662
50,2.844595,2.896270,9.996166e-04,1488727.5,3.662
51,2.802298,,9.995361e-04,1487140.8,3.662
52,2.785628,,9.994479e-04,1492445.7,3.662
53,2.841423,,9.993521e-04,1492194.6,3.662
54,2.811803,,9.992486e-04,1493272.7,3.662
55,2.737945,,9.991375e-04,1493617.6,3.662
56,2.770051,,9.990187e-04,1481701.8,3.662
57,2.678552,,9.988923e-04,1485220.4,3.662
58,2.633921,,9.987582e-04,1491656.1,3.662
59,2.615661,,9.986164e-04,1497148.2,3.662
60,2.707824,,9.984671e-04,1494445.8,3.662
61,2.574204,,9.983100e-04,1492721.3,3.662
62,2.593508,,9.981454e-04,1491243.4,3.662
63,2.599021,,9.979731e-04,1495193.7,3.662
64,2.593461,,9.977931e-04,1497792.7,3.662
65,2.598432,,9.976055e-04,1494575.9,3.662
66,2.526616,,9.974103e-04,1492494.3,3.662
67,2.523313,,9.972075e-04,1494876.6,3.662
68,2.548613,,9.969971e-04,1495018.9,3.662
69,2.448885,,9.967790e-04,1492344.4,3.662
70,2.501620,,9.965533e-04,1490265.1,3.662
71,2.555541,,9.963200e-04,1493211.9,3.662
72,2.482150,,9.960791e-04,1496247.7,3.662
73,2.539419,,9.958306e-04,1495157.1,3.662
74,2.491966,,9.955745e-04,1494344.3,3.662
75,2.507393,,9.953109e-04,1493934.1,3.662
76,2.482170,,9.950396e-04,1489397.1,3.662
77,2.470117,,9.947607e-04,1494409.3,3.662
78,2.469911,,9.944743e-04,1498940.2,3.662
79,2.481648,,9.941803e-04,1490398.4,3.662
80,2.412294,,9.938787e-04,1487470.8,3.662
81,2.356762,,9.935695e-04,1492133.8,3.662
82,2.473829,,9.932528e-04,1498249.8,3.662
83,2.446698,,9.929285e-04,1498703.2,3.662
84,2.408635,,9.925967e-04,1482696.8,3.662
85,2.407091,,9.922574e-04,1487297.7,3.662
86,2.325167,,9.919105e-04,1492907.7,3.662
87,2.384739,,9.915560e-04,1499778.5,3.662
88,2.323478,,9.911941e-04,1496422.8,3.662
89,2.330350,,9.908246e-04,1491931.3,3.662
90,2.316967,,9.904476e-04,1490139.9,3.662
91,2.352228,,9.900632e-04,1488449.4,3.662
92,2.294835,,9.896712e-04,1496463.5,3.662
93,2.337598,,9.892717e-04,1489030.0,3.662
94,2.375232,,9.888647e-04,1483929.5,3.662
95,2.366238,,9.884503e-04,1479249.9,3.662
96,2.328161,,9.880284e-04,1486364.8,3.662
97,2.268225,,9.875990e-04,1494064.1,3.662
98,2.294982,,9.871621e-04,1487925.7,3.662
99,2.210519,,9.867178e-04,1452056.4,3.662
100,2.292089,2.305137,9.862661e-04,1491328.3,3.662
101,2.254610,,9.858069e-04,1486143.8,3.662
102,2.291139,,9.853403e-04,1492928.0,3.662
103,2.261051,,9.848663e-04,1492944.2,3.662
104,2.290942,,9.843849e-04,1482756.8,3.662
105,2.226390,,9.838961e-04,1494921.3,3.662
106,2.306179,,9.833998e-04,1497209.4,3.662
107,2.235131,,9.828962e-04,1485742.2,3.662
108,2.194978,,9.823852e-04,1489364.8,3.662
109,2.196824,,9.818669e-04,1481051.1,3.662
110,2.157617,,9.813412e-04,1486770.8,3.662
111,2.149613,,9.808081e-04,1474425.6,3.662
112,2.155141,,9.802677e-04,1487370.2,3.662
113,2.193761,,9.797199e-04,1471521.0,3.662
114,2.162491,,9.791649e-04,1485388.9,3.662
115,2.176842,,9.786025e-04,1475755.5,3.662
116,2.211104,,9.780328e-04,1485955.0,3.662
117,2.196823,,9.774558e-04,1483437.0,3.662
118,2.219634,,9.768716e-04,1477941.5,3.662
119,2.130765,,9.762800e-04,1482612.9,3.662
120,2.179921,,9.756812e-04,1483196.9,3.662
121,2.144815,,9.750752e-04,1477941.5,3.662
122,2.155738,,9.744619e-04,1475482.2,3.662
123,2.129064,,9.738413e-04,1479182.2,3.662
124,2.042208,,9.732136e-04,1470218.4,3.662
125,2.162348,,9.725786e-04,1476786.2,3.662
126,2.079877,,9.719364e-04,1470540.8,3.662
127,2.121681,,9.712870e-04,1470371.7,3.662
128,2.108284,,9.706305e-04,1480704.1,3.662
129,2.134962,,9.699668e-04,1491591.3,3.662
130,2.111262,,9.692959e-04,1484546.6,3.662
131,2.140344,,9.686179e-04,1484803.2,3.662
132,2.116452,,9.679327e-04,1487237.4,3.662
133,2.137006,,9.672405e-04,1488860.6,3.662
134,2.159477,,9.665411e-04,1485059.9,3.662
135,2.033420,,9.658346e-04,1481051.1,3.662
136,2.058196,,9.651210e-04,1478315.1,3.662
137,2.022708,,9.644004e-04,1489586.7,3.662
138,2.056459,,9.636727e-04,1495433.7,3.662
139,2.022248,,9.629379e-04,1488284.2,3.662
140,2.023066,,9.621961e-04,1480971.3,3.662
141,2.025549,,9.614473e-04,1483809.3,3.662
142,2.030265,,9.606915e-04,1475553.5,3.662
143,2.076152,,9.599286e-04,1468153.1,3.662
