step,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,8.342638,8.344409,0.000000e+00,260824.4,2.645
1,8.347132,,2.500000e-04,1954902.8,3.190
2,7.809399,,5.000000e-04,1980738.0,3.190
3,7.485678,,7.500000e-04,1979989.0,3.190
4,7.312412,,1.000000e-03,1973258.8,3.190
5,7.076407,,1.250000e-03,1974052.4,3.190
6,6.760303,,1.500000e-03,1982824.1,3.190
7,6.441714,,1.750000e-03,1975890.0,3.190
8,6.009865,,2.000000e-03,1976827.8,3.190
9,5.584874,,2.250000e-03,1975776.3,3.190
10,5.228426,,2.500000e-03,1987038.1,3.190
11,4.817242,,2.750000e-03,1965969.4,3.190
12,4.638680,,3.000000e-03,1969427.4,3.190
13,4.640949,,3.250000e-03,1980488.3,3.190
14,4.428835,,3.500000e-03,1990513.0,3.190
15,4.234912,,3.750000e-03,1997775.4,3.190
16,4.328277,,4.000000e-03,2004250.2,3.190
17,4.313852,,4.250000e-03,1997702.8,3.190
18,4.317343,,4.500000e-03,1993624.1,3.190
19,4.130194,,4.750000e-03,1987720.6,3.190
20,4.057673,,5.000000e-03,1984885.8,3.190
21,4.015956,,5.250000e-03,1999337.4,3.190
22,4.098682,,5.500000e-03,1991371.0,3.190
23,3.933820,,5.750000e-03,1983081.5,3.190
24,3.941193,,6.000000e-03,1978556.6,3.190
25,3.873939,,6.250000e-03,1991183.5,3.190
26,3.838800,,6.500000e-03,1989288.6,3.190
27,3.813452,,6.750000e-03,1999032.1,3.190
28,3.785089,,7.000000e-03,1990938.3,3.190
29,3.738479,,7.250000e-03,1996578.2,3.190
30,3.673883,,7.500000e-03,1995556.3,3.190
31,3.692476,,7.750000e-03,1974499.0,3.190
32,3.634560,,8.000000e-03,1986837.0,3.190
33,3.599513,,8.250000e-03,1999795.6,3.190
34,3.528654,,8.500000e-03,2001455.6,3.190
35,3.508758,,8.750000e-03,2004981.2,3.190
36,3.473138,,9.000000e-03,1992143.2,3.190
37,3.485888,,9.250000e-03,1988907.1,3.190
38,3.391646,,9.500000e-03,1995962.1,3.190
39,3.469479,,9.750000e-03,2001739.8,3.190
40,3.321734,,1.000000e-02,1999228.4,3.190
41,3.447354,,9.999962e-03,1991219.6,3.190
42,3.397168,,9.999847e-03,1981694.8,3.190
43,3.358544,,9.999655e-03,1982280.7,3.190
44,3.307442,,9.999386e-03,1983017.2,3.190
45,3.292494,,9.999041e-03,1997071.4,3.190
46,3.175290,,9.998620e-03,1998937.6,3.190
47,3.309724,,9.998121e-03,2000618.0,3.190
48,3.089850,,9.997546e-03,1996121.5,3.190
49,3.169738,,9.996894e-03,1982638.1,3.190
50,3.070931,3.131829,9.996166e-03,1984592.1,3.190
51,3.026592,,9.995361e-03,1988403.6,3.190
52,3.018555,,9.994479e-03,1997993.2,3.190
53,3.107178,,9.993521e-03,1976323.2,3.190
54,3.080441,,9.992486e-03,1983689.8,3.190
55,3.051797,,9.991375e-03,1983274.7,3.190
56,3.068429,,9.990187e-03,1996397.0,3.190
57,2.952542,,9.988923e-03,1994861.2,3.190
58,2.904855,,9.987582e-03,1992345.3,3.190
59,2.901950,,9.986164e-03,1996092.5,3.190
60,3.019057,,9.984671e-03,1980181.5,3.190
61,2.868223,,9.983100e-03,1985911.2,3.190
62,2.876625,,9.981454e-03,1975726.6,3.190
63,2.903803,,9.979731e-03,1984047.7,3.190
64,2.878134,,9.977931e-03,1998414.4,3.190
65,2.908520,,9.976055e-03,1985022.0,3.190
66,2.817885,,9.974103e-03,1987066.8,3.190
67,2.824469,,9.972075e-03,1985208.4,3.190
68,2.836979,,9.969971e-03,1981987.7,3.190
69,2.745863,,9.967790e-03,1990693.2,3.190
70,2.791790,,9.965533e-03,1994506.6,3.190
71,2.856443,,9.963200e-03,1995751.9,3.190
72,2.779286,,9.960791e-03,1990340.1,3.190
73,2.826601,,9.958306e-03,1979653.9,3.190
74,2.784996,,9.955745e-03,1981709.0,3.190
75,2.786569,,9.953109e-03,1987720.6,3.190
76,2.771842,,9.950396e-03,1995223.2,3.190
77,2.746983,,9.947607e-03,1991941.1,3.190
78,2.749278,,9.944743e-03,1987325.4,3.190
79,2.762634,,9.941803e-03,1976479.6,3.190
80,2.663392,,9.938787e-03,1988957.5,3.190
81,2.612961,,9.935695e-03,1997826.2,3.190
82,2.729607,,9.932528e-03,2000326.8,3.190
83,2.711490,,9.929285e-03,2000072.1,3.190
84,2.674067,,9.925967e-03,1988259.8,3.190
85,2.709900,,9.922574e-03,1984327.0,3.190
86,2.622999,,9.919105e-03,1983782.8,3.190
87,2.726051,,9.915560e-03,1994955.3,3.190
88,2.589437,,9.911941e-03,1978848.6,3.190
89,2.629030,,9.908246e-03,1987368.5,3.190
90,2.599848,,9.904476e-03,1981844.8,3.190
91,2.638270,,9.900632e-03,1976444.0,3.190
92,2.580957,,9.896712e-03,1972225.2,3.190
93,2.633351,,9.892717e-03,1978165.1,3.190
94,2.667313,,9.888647e-03,1998385.4,3.190
95,2.655918,,9.884503e-03,1998930.3,3.190
96,2.609631,,9.880284e-03,1996324.5,3.190
97,2.553985,,9.875990e-03,1994861.2,3.190
98,2.568853,,9.871621e-03,1990426.6,3.190
99,2.496197,,9.867178e-03,1985351.8,3.190
100,2.573748,2.606417,9.862661e-03,1996426.0,3.190
101,2.555703,,9.858069e-03,1975087.8,3.190
102,2.588158,,9.853403e-03,1985050.7,3.190
103,2.554046,,9.848663e-03,1984835.7,3.190
104,2.567359,,9.843849e-03,1979404.4,3.190
105,2.504072,,9.838961e-03,1983589.6,3.190
106,2.608878,,9.833998e-03,1982645.3,3.190
107,2.520618,,9.828962e-03,1982087.7,3.190
108,2.471070,,9.823852e-03,1968461.3,3.190
109,2.472255,,9.818669e-03,1973712.2,3.190
110,2.448781,,9.813412e-03,1966736.0,3.190
111,2.421576,,9.808081e-03,1970761.7,3.190
112,2.437074,,9.802677e-03,1985882.5,3.190
113,2.490865,,9.797199e-03,1986614.4,3.190
114,2.468274,,9.791649e-03,1980003.2,3.190
