step,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,8.326402,8.327452,0.000000e+00,269083.1,2.869
1,8.328201,,7.500000e-06,2403031.0,2.877
2,8.314074,,1.500000e-05,2419731.8,2.877
3,8.288804,,2.250000e-05,2457997.9,2.877
4,8.251290,,3.000000e-05,2476611.8,2.877
5,8.207981,,3.750000e-05,2475507.8,2.877
6,8.147772,,4.500000e-05,2473258.1,2.877
7,8.074539,,5.250000e-05,2468327.7,2.877
8,8.010615,,6.000000e-05,2456153.0,2.877
9,7.948897,,6.750000e-05,2462556.2,2.877
10,7.877319,,7.500000e-05,2398093.8,2.877
11,7.824995,,8.250000e-05,2460087.8,2.877
12,7.790123,,9.000000e-05,2467962.0,2.877
13,7.748203,,9.750000e-05,2470679.4,2.877
14,7.718049,,1.050000e-04,2441514.5,2.877
15,7.669850,,1.125000e-04,2470557.3,2.877
16,7.652422,,1.200000e-04,2458998.4,2.877
17,7.633657,,1.275000e-04,2445859.4,2.877
18,7.605964,,1.350000e-04,2460638.3,2.877
19,7.575070,,1.425000e-04,2457536.4,2.877
20,7.542915,,1.500000e-04,2451760.5,2.877
21,7.523304,,1.575000e-04,2403808.5,2.877
22,7.506953,,1.650000e-04,2463869.5,2.877
23,7.443823,,1.725000e-04,2468050.6,2.877
24,7.422233,,1.800000e-04,2455165.8,2.877
25,7.374570,,1.875000e-04,2463637.6,2.877
26,7.335199,,1.950000e-04,2455549.6,2.877
27,7.290126,,2.025000e-04,2453839.8,2.877
28,7.242111,,2.100000e-04,2466356.6,2.877
29,7.197071,,2.175000e-04,2458239.7,2.877
30,7.142618,,2.250000e-04,2461971.7,2.877
31,7.105416,,2.325000e-04,2464930.0,2.877
32,7.053116,,2.400000e-04,2459658.5,2.877
33,7.006359,,2.475000e-04,2455374.1,2.877
34,6.950043,,2.550000e-04,2470068.9,2.877
35,6.897043,,2.625000e-04,2471934.7,2.877
36,6.838784,,2.700000e-04,2479091.1,2.877
37,6.782914,,2.775000e-04,2475329.4,2.877
38,6.709877,,2.850000e-04,2462258.4,2.877
39,6.664876,,2.925000e-04,2422749.6,2.877
40,6.586941,,3.000000e-04,2451738.7,2.877
41,6.555181,,2.999988e-04,2449030.0,2.877
42,6.481188,,2.999954e-04,2451848.0,2.877
