step,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,8.326401,8.327452,0.000000e+00,215673.0,0.309
1,8.328203,,7.500000e-05,476668.3,0.309
2,8.201145,,1.500000e-04,471862.2,0.309
3,8.000000,,2.250000e-04,464630.4,0.309
4,7.847592,,3.000000e-04,473208.6,0.309
5,7.735375,,3.750000e-04,473867.4,0.309
6,7.650858,,4.500000e-04,471033.0,0.309
7,7.559947,,5.250000e-04,470643.5,0.309
8,7.487742,,6.000000e-04,474990.0,0.309
9,7.384846,,6.750000e-04,471341.5,0.309
10,7.244757,,7.500000e-04,472900.5,0.309
11,7.098195,,8.250000e-04,478134.6,0.309
12,6.959914,,9.000000e-04,471065.7,0.309
13,6.781774,,9.750000e-04,473839.6,0.309
14,6.603410,,1.050000e-03,472012.5,0.309
15,6.366383,,1.125000e-03,474436.2,0.309
16,6.236479,,1.200000e-03,473954.8,0.309
17,6.035453,,1.275000e-03,472066.4,0.309
18,5.802705,,1.350000e-03,474424.3,0.309
19,5.589182,,1.425000e-03,472391.7,0.309
20,5.404550,,1.500000e-03,471128.3,0.309
21,5.217605,,1.575000e-03,475050.3,0.309
22,5.074167,,1.650000e-03,473958.1,0.309
23,4.858470,,1.725000e-03,470792.6,0.309
24,4.724959,,1.800000e-03,471505.7,0.309
25,4.599584,,1.875000e-03,470811.9,0.309
26,4.438852,,1.950000e-03,470916.4,0.309
27,4.328291,,2.025000e-03,467372.5,0.309
28,4.245888,,2.100000e-03,467697.4,0.309
29,4.471219,,2.175000e-03,471648.9,0.309
30,4.177134,,2.250000e-03,469793.2,0.309
31,4.120861,,2.325000e-03,471582.5,0.309
32,4.047843,,2.400000e-03,469159.4,0.309
33,4.064753,,2.475000e-03,471818.5,0.309
34,3.904282,,2.550000e-03,468212.8,0.309
35,3.851440,,2.625000e-03,467580.0,0.309
36,3.738697,,2.700000e-03,469278.3,0.309
37,3.791250,,2.775000e-03,466284.0,0.309
38,3.603918,,2.850000e-03,465822.5,0.309
39,3.603986,,2.925000e-03,467202.5,0.309
40,3.475668,,3.000000e-03,469388.1,0.309
41,3.493903,,2.999988e-03,467819.6,0.309
42,3.445878,,2.999954e-03,464070.7,0.309
43,3.394354,,2.999896e-03,466268.2,0.309
44,3.292221,,2.999816e-03,470950.3,0.309
45,3.235846,,2.999712e-03,463833.8,0.309
46,3.102722,,2.999586e-03,462666.7,0.309
47,3.197247,,2.999436e-03,464116.6,0.309
48,2.979529,,2.999264e-03,464863.8,0.309
49,3.037298,,2.999068e-03,465487.3,0.309
50,2.935858,2.982704,2.998850e-03,464588.0,0.309
51,2.881744,,2.998608e-03,466304.9,0.309
52,2.869105,,2.998344e-03,458541.4,0.309
53,2.936241,,2.998056e-03,460705.2,0.309
54,2.891607,,2.997746e-03,462342.9,0.309
55,2.819404,,2.997413e-03,464701.1,0.309
56,2.825007,,2.997056e-03,461300.5,0.309
57,2.729359,,2.996677e-03,462434.7,0.309
58,2.681597,,2.996275e-03,462241.5,0.309
59,2.658370,,2.995849e-03,463262.0,0.309
60,2.750802,,2.995401e-03,462851.7,0.309
61,2.620121,,2.994930e-03,464070.7,0.309
62,2.629849,,2.994436e-03,463175.4,0.309
63,2.635336,,2.993919e-03,460491.0,0.309
64,2.621548,,2.993379e-03,460977.5,0.309
65,2.630936,,2.992817e-03,458047.4,0.309
66,2.544264,,2.992231e-03,458844.5,0.309
67,2.544213,,2.991623e-03,462517.6,0.309
68,2.568358,,2.990991e-03,461369.8,0.309
69,2.487914,,2.990337e-03,459960.5,0.309
70,2.541965,,2.989660e-03,456445.6,0.309
71,2.573691,,2.988960e-03,457941.7,0.309
72,2.514360,,2.988237e-03,460697.1,0.309
73,2.541722,,2.987492e-03,457901.7,0.309
74,2.504645,,2.986724e-03,455822.6,0.309
75,2.514943,,2.985933e-03,458418.3,0.309
76,2.487502,,2.985119e-03,458913.4,0.309
77,2.478017,,2.984282e-03,453764.6,0.309
78,2.470813,,2.983423e-03,459008.8,0.309
79,2.479159,,2.982541e-03,457716.4,0.309
80,2.414274,,2.981636e-03,455320.9,0.309
81,2.351671,,2.980709e-03,455577.1,0.309
82,2.471248,,2.979758e-03,457018.9,0.309
83,2.439301,,2.978786e-03,456527.4,0.309
84,2.400161,,2.977790e-03,454448.4,0.309
85,2.407431,,2.976772e-03,457147.7,0.309
86,2.314350,,2.975731e-03,456820.7,0.309
87,2.364645,,2.974668e-03,456027.6,0.309
88,2.297751,,2.973582e-03,454993.8,0.309
89,2.297074,,2.972474e-03,451658.7,0.309
90,2.296220,,2.971343e-03,451413.6,0.309
91,2.333850,,2.970189e-03,454128.6,0.309
92,2.277063,,2.969014e-03,449560.1,0.309
93,2.317263,,2.967815e-03,450781.7,0.309
94,2.357983,,2.966594e-03,450108.9,0.309
95,2.349354,,2.965351e-03,451267.2,0.309
96,2.304927,,2.964085e-03,452392.0,0.309
97,2.239933,,2.962797e-03,452323.9,0.309
98,2.269821,,2.961486e-03,451606.4,0.309
99,2.180811,,2.960154e-03,451976.9,0.309
100,2.266135,2.277883,2.958798e-03,450628.4,0.309
101,2.219756,,2.957421e-03,451215.7,0.309
102,2.251995,,2.956021e-03,449911.8,0.309
103,2.227143,,2.954599e-03,448716.9,0.309
104,2.258568,,2.953155e-03,447786.0,0.309
105,2.201631,,2.951688e-03,446961.8,0.309
106,2.275630,,2.950200e-03,448052.8,0.309
107,2.220721,,2.948689e-03,446997.0,0.309
108,2.171944,,2.947156e-03,448367.8,0.309
109,2.171575,,2.945601e-03,448677.7,0.309
110,2.137743,,2.944023e-03,444483.5,0.309
111,2.119253,,2.942424e-03,446230.7,0.309
112,2.131756,,2.940803e-03,446762.0,0.309
113,2.160441,,2.939160e-03,445397.1,0.309
114,2.134824,,2.937495e-03,442624.7,0.309
115,2.151880,,2.935807e-03,446000.5,0.309
116,2.169606,,2.934098e-03,445709.0,0.309
117,2.158829,,2.932367e-03,442473.7,0.309
118,2.189046,,2.930615e-03,442706.3,0.309
119,2.111175,,2.928840e-03,444124.7,0.309
120,2.143247,,2.927044e-03,445911.1,0.309
121,2.109614,,2.925225e-03,443601.5,0.309
122,2.124219,,2.923386e-03,442788.0,0.309
123,2.098671,,2.921524e-03,443749.0,0.309
124,2.004494,,2.919641e-03,441731.3,0.309
125,2.140368,,2.917736e-03,443235.3,0.309
126,2.050474,,2.915809e-03,444295.6,0.309
127,2.090858,,2.913861e-03,438104.8,0.309
128,2.077720,,2.911891e-03,442587.6,0.309
129,2.100917,,2.909900e-03,442735.9,0.309
130,2.082274,,2.907888e-03,443700.0,0.309
131,2.114193,,2.905854e-03,439894.4,0.309
