step,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,8.496760,8.489262,0.000000e+00,24553.5,1.723
1,8.493641,,7.500000e-05,24354.9,1.723
2,6.819880,,1.500000e-04,24485.6,1.723
3,8.284321,,2.250000e-04,24917.1,1.723
4,6.624150,,3.000000e-04,25427.0,1.723
5,5.903597,,3.750000e-04,25617.0,1.723
6,6.027329,,4.500000e-04,25918.1,1.723
7,5.476139,,5.250000e-04,26164.7,1.723
8,5.134594,,6.000000e-04,26198.2,1.723
9,4.905900,,6.750000e-04,26219.3,1.723
10,4.568779,,7.500000e-04,26183.9,1.723
11,4.279067,,8.250000e-04,26137.3,1.723
12,4.240814,,9.000000e-04,25914.0,1.723
13,4.177284,,9.750000e-04,26051.3,1.723
14,4.104768,,1.050000e-03,25822.2,1.723
15,3.953195,,1.125000e-03,25695.2,1.723
16,4.050593,,1.200000e-03,25604.4,1.723
17,3.994406,,1.275000e-03,25637.3,1.723
18,3.974816,,1.350000e-03,25621.2,1.723
19,3.868093,,1.425000e-03,25656.5,1.723
20,3.914260,,1.500000e-03,25724.2,1.723
21,3.934373,,1.575000e-03,25779.5,1.723
22,3.948009,,1.650000e-03,25814.2,1.723
23,3.830819,,1.725000e-03,25836.5,1.723
24,3.829546,,1.800000e-03,25853.2,1.723
25,3.814717,,1.875000e-03,25897.0,1.723
26,3.785048,,1.950000e-03,25886.6,1.723
27,3.788721,,2.025000e-03,25884.5,1.723
28,3.757670,,2.100000e-03,25849.7,1.723
29,3.737241,,2.175000e-03,25782.7,1.723
30,3.749131,,2.250000e-03,25882.5,1.723
31,3.859325,,2.325000e-03,25803.0,1.723
32,3.769290,,2.400000e-03,25806.8,1.723
33,3.727332,,2.475000e-03,25819.2,1.723
34,3.659198,,2.550000e-03,25804.0,1.723
35,3.593682,,2.625000e-03,25814.8,1.723
36,3.573103,,2.700000e-03,25780.0,1.723
37,3.562801,,2.775000e-03,25807.8,1.723
38,3.487384,,2.850000e-03,25809.1,1.723
39,3.491968,,2.925000e-03,25838.0,1.723
40,3.379515,,3.000000e-03,25830.7,1.723
41,3.529454,,2.999988e-03,25835.3,1.723
42,3.494366,,2.999954e-03,25764.8,1.723
43,3.451505,,2.999896e-03,25767.0,1.723
44,3.378097,,2.999816e-03,25794.0,1.723
45,3.374067,,2.999712e-03,25798.0,1.723
46,3.253221,,2.999586e-03,25756.0,1.723
47,3.353387,,2.999436e-03,25805.5,1.723
48,3.154860,,2.999264e-03,25736.9,1.723
49,3.225645,,2.999068e-03,25791.7,1.723
50,3.142834,3.209673,2.998850e-03,25764.4,1.723
51,3.104499,,2.998608e-03,25955.3,1.723
52,3.095995,,2.998344e-03,25844.0,1.723
53,3.193494,,2.998056e-03,25844.9,1.723
54,3.200465,,2.997746e-03,25779.4,1.723
55,3.162634,,2.997413e-03,25775.4,1.723
56,3.130189,,2.997056e-03,25794.5,1.723
57,3.077797,,2.996677e-03,25734.7,1.723
58,2.996697,,2.996275e-03,25752.7,1.723
59,3.022820,,2.995849e-03,25742.4,1.723
60,3.122675,,2.995401e-03,25752.2,1.723
61,2.950846,,2.994930e-03,25738.4,1.723
62,2.984378,,2.994436e-03,25730.3,1.723
63,3.011716,,2.993919e-03,25686.5,1.723
64,2.966314,,2.993379e-03,25713.0,1.723
65,3.000566,,2.992817e-03,25729.4,1.723
66,2.896984,,2.992231e-03,25692.7,1.723
67,2.904896,,2.991623e-03,25645.2,1.723
68,2.903032,,2.990991e-03,25676.4,1.723
69,2.783156,,2.990337e-03,25676.3,1.723
70,2.854555,,2.989660e-03,25750.2,1.723
71,2.900620,,2.988960e-03,25721.8,1.723
72,2.808774,,2.988237e-03,25698.3,1.723
73,2.870648,,2.987492e-03,25723.6,1.723
74,2.830514,,2.986724e-03,25721.9,1.723
75,2.821613,,2.985933e-03,25725.9,1.723
76,2.789920,,2.985119e-03,25779.8,1.723
77,2.761451,,2.984282e-03,25817.3,1.723
78,2.804930,,2.983423e-03,25774.8,1.723
79,2.954847,,2.982541e-03,25760.9,1.723
80,2.779419,,2.981636e-03,25765.0,1.723
81,2.693448,,2.980709e-03,25797.1,1.723
82,2.811610,,2.979758e-03,25820.6,1.723
83,2.788677,,2.978786e-03,25775.9,1.723
84,2.747248,,2.977790e-03,25831.2,1.723
85,2.735250,,2.976772e-03,25808.9,1.723
86,2.624059,,2.975731e-03,25775.4,1.723
