step,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,8.321966,8.320785,0.000000e+00,219745.3,4.664
1,8.320990,,2.500000e-04,930253.8,5.207
2,7.928779,,5.000000e-04,931914.3,5.207
3,7.824552,,7.500000e-04,932088.1,5.207
4,7.916829,,1.000000e-03,933850.3,5.207
5,7.653897,,1.250000e-03,935901.1,5.207
6,7.754441,,1.500000e-03,937609.0,5.207
7,7.447746,,1.750000e-03,938093.8,5.207
8,7.493329,,2.000000e-03,938261.9,5.207
9,7.078214,,2.250000e-03,937653.8,5.207
10,6.821515,,2.500000e-03,935491.8,5.207
11,6.516309,,2.750000e-03,937362.9,5.207
12,6.226174,,3.000000e-03,937417.2,5.207
13,5.899645,,3.250000e-03,937268.6,5.207
14,5.598858,,3.500000e-03,939485.3,5.207
15,5.210987,,3.750000e-03,937233.4,5.207
16,5.011858,,4.000000e-03,937695.4,5.207
17,4.795612,,4.250000e-03,938878.8,5.207
18,4.605364,,4.500000e-03,937823.4,5.207
19,4.433378,,4.750000e-03,937951.4,5.207
20,4.354046,,5.000000e-03,936617.1,5.207
21,4.293096,,5.250000e-03,938471.8,5.207
22,4.278858,,5.500000e-03,939074.5,5.207
23,4.205265,,5.750000e-03,936090.8,5.207
24,4.147535,,6.000000e-03,938834.0,5.207
25,4.085437,,6.250000e-03,936272.5,5.207
26,3.932151,,6.500000e-03,937059.3,5.207
27,3.888146,,6.750000e-03,936516.5,5.207
28,4.031076,,7.000000e-03,936650.6,5.207
29,3.865746,,7.250000e-03,935958.5,5.207
30,3.809929,,7.500000e-03,937538.7,5.207
31,3.895359,,7.750000e-03,926232.1,5.207
32,3.890613,,8.000000e-03,937633.0,5.207
33,3.888357,,8.250000e-03,937957.8,5.207
34,3.828814,,8.500000e-03,937826.6,5.207
35,3.825965,,8.750000e-03,936866.1,5.207
36,3.828765,,9.000000e-03,938999.1,5.207
37,3.829966,,9.250000e-03,938676.9,5.207
38,3.794860,,9.500000e-03,938095.4,5.207
39,3.852991,,9.750000e-03,938225.1,5.207
40,3.774569,,1.000000e-02,939623.4,5.207
41,3.897944,,9.999962e-03,939190.0,5.207
42,3.892563,,9.999847e-03,939303.9,5.207
43,3.858927,,9.999655e-03,937112.0,5.207
44,3.805004,,9.999386e-03,937842.6,5.207
45,3.837616,,9.999041e-03,935757.8,5.207
46,3.772435,,9.998620e-03,936941.1,5.207
47,3.903258,,9.998121e-03,938196.3,5.207
48,3.739765,,9.997546e-03,934488.4,5.207
49,3.819747,,9.996894e-03,934361.4,5.207
50,3.775459,3.842680,9.996166e-03,937147.1,5.207
51,3.744041,,9.995361e-03,930305.8,5.207
52,3.761281,,9.994479e-03,935168.8,5.207
53,3.873144,,9.993521e-03,938063.4,5.207
54,3.843405,,9.992486e-03,934768.1,5.207
55,3.806987,,9.991375e-03,933966.1,5.207
56,3.859950,,9.990187e-03,934150.2,5.207
57,3.790420,,9.988923e-03,934707.7,5.207
58,3.754474,,9.987582e-03,932939.1,5.207
59,3.764403,,9.986164e-03,935674.9,5.207
60,3.918165,,9.984671e-03,937817.0,5.207
61,3.728924,,9.983100e-03,932583.0,5.207
62,3.802913,,9.981454e-03,932409.0,5.207
63,3.848025,,9.979731e-03,933472.9,5.207
64,3.830565,,9.977931e-03,935355.0,5.207
65,3.868927,,9.976055e-03,932590.9,5.207
66,3.773805,,9.974103e-03,932570.3,5.207
67,3.802778,,9.972075e-03,930751.5,5.207
68,3.802039,,9.969971e-03,932173.4,5.207
69,3.721452,,9.967790e-03,934671.2,5.207
70,3.735846,,9.965533e-03,934085.1,5.207
71,3.756657,,9.963200e-03,934912.8,5.207
72,3.717666,,9.960791e-03,934498.0,5.207
73,3.756832,,9.958306e-03,937068.9,5.207
74,3.685080,,9.955745e-03,937514.7,5.207
75,3.680979,,9.953109e-03,936532.5,5.207
76,3.647605,,9.950396e-03,936251.8,5.207
77,3.590001,,9.947607e-03,935442.5,5.207
78,3.687555,,9.944743e-03,938582.3,5.207
79,3.641307,,9.941803e-03,938454.1,5.207
80,3.537698,,9.938787e-03,937777.0,5.207
81,3.489719,,9.935695e-03,937044.9,5.207
82,3.567038,,9.932528e-03,935129.0,5.207
83,3.568287,,9.929285e-03,936167.3,5.207
84,3.498506,,9.925967e-03,937198.3,5.207
85,3.516976,,9.922574e-03,935192.7,5.207
86,3.414037,,9.919105e-03,934455.1,5.207
87,3.467380,,9.915560e-03,937743.4,5.207
88,3.395157,,9.911941e-03,938007.4,5.207
89,3.386846,,9.908246e-03,935660.6,5.207
90,3.362389,,9.904476e-03,937449.2,5.207
91,3.414024,,9.900632e-03,936653.8,5.207
92,3.308283,,9.896712e-03,937601.1,5.207
93,3.404114,,9.892717e-03,937479.5,5.207
94,3.417288,,9.888647e-03,937334.1,5.207
95,3.377583,,9.884503e-03,936497.4,5.207
96,3.316245,,9.880284e-03,935012.9,5.207
97,3.284178,,9.875990e-03,937410.8,5.207
98,3.277448,,9.871621e-03,938036.2,5.207
99,3.189323,,9.867178e-03,935230.8,5.207
100,3.234283,3.276155,9.862661e-03,935418.6,5.207
101,3.248503,,9.858069e-03,929566.4,5.207
102,3.295491,,9.853403e-03,931047.8,5.207
103,3.207355,,9.848663e-03,935297.7,5.207
104,3.216530,,9.843849e-03,934691.8,5.207
105,3.142240,,9.838961e-03,934315.3,5.207
106,3.246636,,9.833998e-03,936216.7,5.207
107,3.159353,,9.828962e-03,938153.1,5.207
108,3.087602,,9.823852e-03,935156.1,5.207
109,3.075502,,9.818669e-03,935003.4,5.207
110,3.053286,,9.813412e-03,933636.2,5.207
111,3.040269,,9.808081e-03,934539.3,5.207
112,3.037990,,9.802677e-03,935638.3,5.207
113,3.105247,,9.797199e-03,936548.5,5.207
114,3.055949,,9.791649e-03,937254.2,5.207
115,3.077005,,9.786025e-03,936344.3,5.207
116,3.071882,,9.780328e-03,933192.5,5.207
117,3.048322,,9.774558e-03,937796.2,5.207
118,3.083123,,9.768716e-03,937171.1,5.207
119,3.001903,,9.762800e-03,933905.8,5.207
120,3.017837,,9.756812e-03,933087.9,5.207
121,2.940359,,9.750752e-03,936878.8,5.207
122,2.969772,,9.744619e-03,929288.3,5.207
123,2.937354,,9.738413e-03,929932.8,5.207
124,2.876280,,9.732136e-03,932391.6,5.207
125,3.004104,,9.725786e-03,931949.1,5.207
126,2.894084,,9.719364e-03,931090.4,5.207
127,3.030743,,9.712870e-03,932983.4,5.207
128,2.998896,,9.706305e-03,935609.7,5.207
129,2.986813,,9.699668e-03,932994.5,5.207
130,2.956286,,9.692959e-03,931423.3,5.207
131,2.996406,,9.686179e-03,931857.4,5.207
132,2.920955,,9.679327e-03,932115.0,5.207
133,2.993443,,9.672405e-03,929425.0,5.207
134,2.998500,,9.665411e-03,932665.3,5.207
135,2.827935,,9.658346e-03,931628.5,5.207
136,2.851573,,9.651210e-03,931908.0,5.207
137,2.850163,,9.644004e-03,929874.6,5.207
138,2.860243,,9.636727e-03,930712.1,5.207
