step,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,8.327236,8.326984,0.000000e+00,245230.8,3.729
1,8.326003,,2.500000e-04,1277278.1,4.272
2,7.967273,,5.000000e-04,1281419.4,4.272
3,7.844607,,7.500000e-04,1279460.0,4.272
4,7.727934,,1.000000e-03,1281001.3,4.272
5,7.910478,,1.250000e-03,1278879.6,4.272
6,8.141746,,1.500000e-03,1284848.4,4.272
7,7.502673,,1.750000e-03,1285804.1,4.272
8,7.444334,,2.000000e-03,1287707.5,4.272
9,7.075865,,2.250000e-03,1285389.2,4.272
10,6.821300,,2.500000e-03,1286168.1,4.272
11,6.542802,,2.750000e-03,1282396.8,4.272
12,6.261057,,3.000000e-03,1280157.2,4.272
13,5.940804,,3.250000e-03,1283450.6,4.272
14,5.617240,,3.500000e-03,1283552.5,4.272
15,5.206139,,3.750000e-03,1283211.0,4.272
16,4.964417,,4.000000e-03,1285320.1,4.272
17,4.695639,,4.250000e-03,1283750.3,4.272
18,4.444393,,4.500000e-03,1280616.4,4.272
19,4.203553,,4.750000e-03,1280941.6,4.272
20,4.056207,,5.000000e-03,1281210.3,4.272
21,3.943527,,5.250000e-03,1285022.6,4.272
22,3.920180,,5.500000e-03,1281362.6,4.272
23,3.759940,,5.750000e-03,1284161.2,4.272
24,3.739743,,6.000000e-03,1281323.8,4.272
25,3.690838,,6.250000e-03,1280577.6,4.272
26,3.638416,,6.500000e-03,1282402.8,4.272
27,3.654258,,6.750000e-03,1275799.0,4.272
28,3.612178,,7.000000e-03,1276172.1,4.272
29,3.592966,,7.250000e-03,1278989.7,4.272
30,3.573026,,7.500000e-03,1280592.5,4.272
31,3.790366,,7.750000e-03,1285293.0,4.272
32,3.650425,,8.000000e-03,1286408.8,4.272
33,3.657109,,8.250000e-03,1287433.1,4.272
34,3.539311,,8.500000e-03,1286625.6,4.272
35,3.509323,,8.750000e-03,1286538.3,4.272
36,3.505374,,9.000000e-03,1285855.2,4.272
37,3.503674,,9.250000e-03,1283873.3,4.272
38,3.446634,,9.500000e-03,1280398.7,4.272
39,3.446094,,9.750000e-03,1281768.9,4.272
40,3.354424,,1.000000e-02,1275659.8,4.272
