step,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,8.328144,8.328108,0.000000e+00,255421.2,2.699
1,8.327299,,2.500000e-04,1928365.6,2.703
2,8.049152,,5.000000e-04,1932629.6,2.703
3,7.852923,,7.500000e-04,1946024.5,2.703
4,7.761627,,1.000000e-03,1953812.0,2.703
5,7.635949,,1.250000e-03,1946114.1,2.703
6,7.498071,,1.500000e-03,1952687.8,2.703
7,7.361310,,1.750000e-03,1955007.1,2.703
8,7.137824,,2.000000e-03,1963399.6,2.703
9,6.878190,,2.250000e-03,1962460.4,2.703
10,7.520118,,2.500000e-03,1978428.5,2.703
11,6.283588,,2.750000e-03,1973166.7,2.703
12,6.015696,,3.000000e-03,1969505.0,2.703
13,5.699095,,3.250000e-03,1974215.4,2.703
14,5.411827,,3.500000e-03,1979924.8,2.703
15,4.999945,,3.750000e-03,1965477.4,2.703
16,4.795774,,4.000000e-03,1978485.4,2.703
17,4.532886,,4.250000e-03,1958098.8,2.703
18,4.393925,,4.500000e-03,1972395.1,2.703
19,4.099361,,4.750000e-03,1975953.9,2.703
20,3.976988,,5.000000e-03,1966574.2,2.703
21,3.872038,,5.250000e-03,1963764.3,2.703
22,3.898278,,5.500000e-03,1968207.6,2.703
23,3.642401,,5.750000e-03,1968630.5,2.703
24,3.592466,,6.000000e-03,1970260.3,2.703
25,3.558558,,6.250000e-03,1974740.2,2.703
26,3.605241,,6.500000e-03,1972720.6,2.703
27,3.391459,,6.750000e-03,1968884.3,2.703
28,3.401971,,7.000000e-03,1971235.2,2.703
29,3.370038,,7.250000e-03,1973258.8,2.703
30,3.467228,,7.500000e-03,1965350.9,2.703
31,3.388168,,7.750000e-03,1975400.1,2.703
32,3.396166,,8.000000e-03,1970910.1,2.703
33,3.343302,,8.250000e-03,1975336.2,2.703
34,3.297718,,8.500000e-03,1975116.2,2.703
35,3.241103,,8.750000e-03,1956342.8,2.703
36,3.211611,,9.000000e-03,1962236.3,2.703
37,3.153057,,9.250000e-03,1967207.5,2.703
38,3.164225,,9.500000e-03,1969603.8,2.703
39,3.129884,,9.750000e-03,1970112.0,2.703
40,3.112968,,1.000000e-02,1972664.0,2.703
41,3.195696,,9.999962e-03,1966377.2,2.703
42,3.143034,,9.999847e-03,1964718.8,2.703
43,3.119336,,9.999655e-03,1968560.0,2.703
44,3.080075,,9.999386e-03,1972678.2,2.703
45,3.038213,,9.999041e-03,1965913.1,2.703
46,2.921579,,9.998620e-03,1966173.3,2.703
47,3.046667,,9.998121e-03,1967728.6,2.703
48,2.850476,,9.997546e-03,1970818.3,2.703
49,2.932603,,9.996894e-03,1973705.1,2.703
50,2.852814,2.925159,9.996166e-03,1964452.0,2.703
51,2.826841,,9.995361e-03,1931645.0,2.703
52,2.818155,,9.994479e-03,1952833.4,2.703
53,2.893569,,9.993521e-03,1961172.3,2.703
54,2.875979,,9.992486e-03,1971454.3,2.703
55,2.802347,,9.991375e-03,1974626.7,2.703
56,2.837796,,9.990187e-03,1977126.4,2.703
57,2.759067,,9.988923e-03,1973669.7,2.703
58,2.728626,,9.987582e-03,1962110.2,2.703
59,2.746838,,9.986164e-03,1967827.2,2.703
60,2.871692,,9.984671e-03,1973648.4,2.703
61,2.700323,,9.983100e-03,1963539.8,2.703
