step,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,8.318665,8.318614,0.000000e+00,211269.0,5.935
1,8.319147,,2.500000e-04,612770.7,6.472
2,7.891558,,5.000000e-04,609346.2,6.472
3,7.855431,,7.500000e-04,609085.0,6.472
4,8.009404,,1.000000e-03,607078.6,6.472
5,7.754977,,1.250000e-03,613220.5,6.472
6,7.627141,,1.500000e-03,613756.5,6.472
7,7.459134,,1.750000e-03,612990.7,6.472
8,7.263637,,2.000000e-03,614235.8,6.472
9,7.013026,,2.250000e-03,613890.8,6.472
10,6.702760,,2.500000e-03,612929.2,6.472
11,6.369789,,2.750000e-03,614432.9,6.472
12,6.062042,,3.000000e-03,613640.0,6.472
13,5.724182,,3.250000e-03,612447.8,6.472
14,5.423355,,3.500000e-03,615245.6,6.472
15,5.039594,,3.750000e-03,613780.5,6.472
16,4.856421,,4.000000e-03,615103.8,6.472
17,4.643923,,4.250000e-03,614982.7,6.472
18,4.444958,,4.500000e-03,614219.4,6.472
19,4.256425,,4.750000e-03,614096.6,6.472
20,4.154102,,5.000000e-03,612823.3,6.472
21,4.072085,,5.250000e-03,615156.8,6.472
22,4.051622,,5.500000e-03,614126.7,6.472
23,3.885106,,5.750000e-03,612973.6,6.472
24,3.864588,,6.000000e-03,615082.5,6.472
25,3.820905,,6.250000e-03,612748.8,6.472
26,3.766041,,6.500000e-03,614973.8,6.472
27,3.765815,,6.750000e-03,613643.5,6.472
28,3.747190,,7.000000e-03,613634.6,6.472
29,3.735840,,7.250000e-03,614713.9,6.472
30,3.719612,,7.500000e-03,614196.0,6.472
31,3.928345,,7.750000e-03,614818.4,6.472
32,3.786238,,8.000000e-03,613238.2,6.472
33,3.798380,,8.250000e-03,615063.2,6.472
34,3.739671,,8.500000e-03,613852.4,6.472
35,3.705613,,8.750000e-03,614863.7,6.472
36,3.707808,,9.000000e-03,613560.6,6.472
37,3.694206,,9.250000e-03,613460.6,6.472
38,3.632569,,9.500000e-03,615179.5,6.472
39,3.658091,,9.750000e-03,614050.6,6.472
40,3.589312,,1.000000e-02,613883.3,6.472
41,3.715810,,9.999962e-03,612533.1,6.472
42,3.681302,,9.999847e-03,613788.7,6.472
43,3.641301,,9.999655e-03,613657.2,6.472
44,3.595166,,9.999386e-03,614988.2,6.472
45,3.601421,,9.999041e-03,613707.2,6.472
46,3.528681,,9.998620e-03,614751.0,6.472
47,3.621136,,9.998121e-03,614537.9,6.472
48,3.438524,,9.997546e-03,614940.8,6.472
49,3.514471,,9.996894e-03,616782.1,6.472
50,3.429903,3.533494,9.996166e-03,614312.0,6.472
51,3.420971,,9.995361e-03,616088.9,6.472
52,3.390587,,9.994479e-03,615366.2,6.472
53,3.527951,,9.993521e-03,616428.1,6.472
54,3.435388,,9.992486e-03,614740.7,6.472
55,3.408862,,9.991375e-03,615245.6,6.472
56,3.423090,,9.990187e-03,614755.8,6.472
57,3.342124,,9.988923e-03,616435.7,6.472
58,3.274808,,9.987582e-03,615708.7,6.472
59,3.265331,,9.986164e-03,614161.7,6.472
60,3.376141,,9.984671e-03,613145.2,6.472
61,3.194373,,9.983100e-03,614642.4,6.472
62,3.259946,,9.981454e-03,614325.1,6.472
63,3.268796,,9.979731e-03,616082.0,6.472
64,3.243705,,9.977931e-03,612689.4,6.472
65,3.274373,,9.976055e-03,613093.9,6.472
66,3.169027,,9.974103e-03,612603.4,6.472
67,3.181189,,9.972075e-03,614748.9,6.472
68,3.198945,,9.969971e-03,614420.5,6.472
69,3.101173,,9.967790e-03,612580.2,6.472
70,3.119172,,9.965533e-03,613809.3,6.472
71,3.172275,,9.963200e-03,614700.8,6.472
72,3.095476,,9.960791e-03,614906.4,6.472
73,3.139709,,9.958306e-03,613816.1,6.472
74,3.102154,,9.955745e-03,614032.8,6.472
75,3.083287,,9.953109e-03,615602.5,6.472
76,3.073254,,9.950396e-03,616455.7,6.472
77,3.035159,,9.947607e-03,616160.7,6.472
78,3.046223,,9.944743e-03,614785.3,6.472
79,3.046882,,9.941803e-03,612288.9,6.472
80,2.965015,,9.938787e-03,612486.7,6.472
81,2.911709,,9.935695e-03,614463.8,6.472
82,3.014614,,9.932528e-03,615149.3,6.472
83,2.993674,,9.929285e-03,612808.3,6.472
84,2.944465,,9.925967e-03,613463.4,6.472
85,2.963247,,9.922574e-03,614383.4,6.472
86,2.873941,,9.919105e-03,616079.2,6.472
87,3.008796,,9.915560e-03,613851.8,6.472
88,2.897259,,9.911941e-03,614133.6,6.472
89,2.857098,,9.908246e-03,613923.7,6.472
90,2.848260,,9.904476e-03,613616.1,6.472
91,2.894455,,9.900632e-03,614755.8,6.472
92,2.819673,,9.896712e-03,615382.0,6.472
93,2.879449,,9.892717e-03,614779.2,6.472
94,2.914678,,9.888647e-03,614603.9,6.472
95,2.888548,,9.884503e-03,615834.9,6.472
96,2.833851,,9.880284e-03,614999.2,6.472
97,2.791457,,9.875990e-03,613962.1,6.472
98,2.798346,,9.871621e-03,613714.0,6.472
99,2.714543,,9.867178e-03,612590.4,6.472
100,2.792374,2.811472,9.862661e-03,613592.1,6.472
101,2.760996,,9.858069e-03,613703.1,6.472
102,2.827287,,9.853403e-03,614679.5,6.472
103,2.760319,,9.848663e-03,614138.4,6.472
104,2.786947,,9.843849e-03,616200.0,6.472
105,2.725312,,9.838961e-03,614480.9,6.472
106,2.819374,,9.833998e-03,615599.7,6.472
107,2.727065,,9.828962e-03,613579.8,6.472
108,2.673623,,9.823852e-03,612729.7,6.472
109,2.694358,,9.818669e-03,613251.9,6.472
110,2.661456,,9.813412e-03,614742.7,6.472
111,2.626806,,9.808081e-03,613762.7,6.472
112,2.650759,,9.802677e-03,612474.4,6.472
113,2.691248,,9.797199e-03,612087.1,6.472
114,2.644608,,9.791649e-03,613969.0,6.472
115,2.668515,,9.786025e-03,614309.3,6.472
116,2.691249,,9.780328e-03,613586.6,6.472
117,2.669665,,9.774558e-03,613532.5,6.472
118,2.700953,,9.768716e-03,611721.4,6.472
119,2.615056,,9.762800e-03,611493.4,6.472
120,2.707745,,9.756812e-03,613940.9,6.472
121,2.643278,,9.750752e-03,614625.2,6.472
122,2.637110,,9.744619e-03,614618.3,6.472
123,2.605191,,9.738413e-03,612788.5,6.472
124,2.509976,,9.732136e-03,608287.7,6.472
125,2.672357,,9.725786e-03,616683.2,6.472
126,2.537186,,9.719364e-03,615265.6,6.472
127,2.622405,,9.712870e-03,611324.1,6.472
128,2.601272,,9.706305e-03,614467.2,6.472
129,2.632944,,9.699668e-03,612845.2,6.472
130,2.599417,,9.692959e-03,614628.0,6.472
131,2.657503,,9.686179e-03,611396.2,6.472
132,2.598906,,9.679327e-03,611575.0,6.472
133,2.674502,,9.672405e-03,612718.1,6.472
134,2.680501,,9.665411e-03,613726.4,6.472
135,2.528490,,9.658346e-03,613751.7,6.472
136,2.579223,,9.651210e-03,611327.5,6.472
137,2.554774,,9.644004e-03,613054.3,6.472
138,2.607566,,9.636727e-03,612365.9,6.472
139,2.585685,,9.629379e-03,615960.5,6.472
140,2.574273,,9.621961e-03,615395.1,6.472
141,2.573361,,9.614473e-03,614204.3,6.472
142,2.567180,,9.606915e-03,616137.9,6.472
143,2.614885,,9.599286e-03,614720.7,6.472
144,2.568561,,9.591588e-03,614214.6,6.472
