step,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,8.314462,8.314274,0.000000e+00,182054.3,8.229
1,8.314726,,7.500000e-05,444097.1,8.777
2,7.981323,,1.500000e-04,444096.4,8.777
3,7.878268,,2.250000e-04,444172.8,8.777
4,7.813335,,3.000000e-04,444036.5,8.777
5,7.927548,,3.750000e-04,444493.2,8.777
6,7.774575,,4.500000e-04,444669.7,8.777
7,7.662020,,5.250000e-04,444927.4,8.777
8,7.613154,,6.000000e-04,443290.0,8.777
9,7.551990,,6.750000e-04,444223.1,8.777
10,7.461165,,7.500000e-04,445003.0,8.777
11,7.370028,,8.250000e-04,444498.6,8.777
12,7.261232,,9.000000e-04,444499.3,8.777
13,7.139003,,9.750000e-04,444663.2,8.777
14,7.017163,,1.050000e-03,445062.8,8.777
15,6.833535,,1.125000e-03,444469.8,8.777
16,6.712179,,1.200000e-03,445710.5,8.777
17,6.551535,,1.275000e-03,444738.8,8.777
18,6.378925,,1.350000e-03,444162.4,8.777
19,6.187082,,1.425000e-03,444406.9,8.777
20,6.009225,,1.500000e-03,444341.9,8.777
21,5.824451,,1.575000e-03,443904.9,8.777
22,5.663635,,1.650000e-03,444402.3,8.777
23,5.437054,,1.725000e-03,444924.1,8.777
24,5.254723,,1.800000e-03,444687.7,8.777
25,5.070061,,1.875000e-03,443632.0,8.777
26,4.860709,,1.950000e-03,443941.8,8.777
27,4.679497,,2.025000e-03,444985.0,8.777
28,4.558378,,2.100000e-03,444906.8,8.777
29,4.381920,,2.175000e-03,444260.4,8.777
30,4.221919,,2.250000e-03,444655.7,8.777
31,4.148031,,2.325000e-03,444362.7,8.777
32,4.012938,,2.400000e-03,444367.8,8.777
33,3.912496,,2.475000e-03,444265.4,8.777
34,3.740044,,2.550000e-03,444165.3,8.777
35,3.646423,,2.625000e-03,443389.0,8.777
36,3.573925,,2.700000e-03,443854.4,8.777
37,3.492296,,2.775000e-03,443231.4,8.777
38,3.411097,,2.850000e-03,443601.5,8.777
39,3.410262,,2.925000e-03,443658.1,8.777
40,3.253828,,3.000000e-03,442993.1,8.777
41,3.304302,,2.999988e-03,443226.4,8.777
42,3.355316,,2.999954e-03,443488.8,8.777
43,3.333358,,2.999896e-03,442848.3,8.777
44,3.439315,,2.999816e-03,443670.3,8.777
45,3.294153,,2.999712e-03,443945.8,8.777
46,3.372178,,2.999586e-03,443604.4,8.777
47,3.898480,,2.999436e-03,444552.1,8.777
48,3.687118,,2.999264e-03,444430.3,8.777
49,3.968396,,2.999068e-03,443578.6,8.777
50,3.662048,3.714414,2.998850e-03,443687.4,8.777
51,3.626457,,2.998608e-03,438286.8,8.777
52,3.508999,,2.998344e-03,441401.5,8.777
53,3.500833,,2.998056e-03,442891.1,8.777
54,3.332863,,2.997746e-03,443159.5,8.777
55,3.228177,,2.997413e-03,443042.4,8.777
56,3.222275,,2.997056e-03,443380.1,8.777
57,3.093416,,2.996677e-03,442598.0,8.777
58,3.044003,,2.996275e-03,443638.4,8.777
59,3.015197,,2.995849e-03,443366.1,8.777
60,3.220246,,2.995401e-03,443396.9,8.777
