step,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,8.323423,8.322703,0.000000e+00,234315.0,4.469
1,8.323462,,7.500000e-05,967614.2,5.010
2,8.083838,,1.500000e-04,971394.4,5.010
3,7.901934,,2.250000e-04,975043.4,5.010
4,7.836644,,3.000000e-04,974530.1,5.010
5,7.755287,,3.750000e-04,972742.0,5.010
6,7.686609,,4.500000e-04,974578.5,5.010
7,7.695264,,5.250000e-04,969463.9,5.010
8,7.555316,,6.000000e-04,965057.8,5.010
9,7.466892,,6.750000e-04,970655.2,5.010
10,7.372924,,7.500000e-04,969992.4,5.010
11,7.293881,,8.250000e-04,972286.1,5.010
12,7.202832,,9.000000e-04,970480.4,5.010
13,7.067396,,9.750000e-04,975716.6,5.010
14,6.963551,,1.050000e-03,970946.6,5.010
15,6.802283,,1.125000e-03,964766.5,5.010
16,6.669223,,1.200000e-03,969995.8,5.010
17,6.515937,,1.275000e-03,967069.5,5.010
18,6.342299,,1.350000e-03,967719.8,5.010
19,6.146614,,1.425000e-03,972972.6,5.010
20,5.968741,,1.500000e-03,973349.9,5.010
21,5.790103,,1.575000e-03,975979.9,5.010
22,5.621231,,1.650000e-03,974542.2,5.010
23,5.393466,,1.725000e-03,972129.6,5.010
24,5.208790,,1.800000e-03,969193.8,5.010
25,5.022927,,1.875000e-03,968729.3,5.010
26,4.802498,,1.950000e-03,974654.5,5.010
27,4.621012,,2.025000e-03,971674.3,5.010
28,4.486377,,2.100000e-03,970465.0,5.010
29,4.304370,,2.175000e-03,975517.5,5.010
30,4.136803,,2.250000e-03,970444.5,5.010
31,4.054754,,2.325000e-03,974566.4,5.010
32,3.907404,,2.400000e-03,974181.3,5.010
33,3.801501,,2.475000e-03,975017.5,5.010
34,3.626685,,2.550000e-03,974086.3,5.010
35,3.517987,,2.625000e-03,972743.7,5.010
36,3.441050,,2.700000e-03,974715.0,5.010
37,3.339964,,2.775000e-03,974718.4,5.010
38,3.246045,,2.850000e-03,970891.8,5.010
39,3.226705,,2.925000e-03,970136.2,5.010
40,3.098168,,3.000000e-03,971243.4,5.010
41,3.153652,,2.999988e-03,971832.3,5.010
42,3.086142,,2.999954e-03,975740.9,5.010
43,3.081352,,2.999896e-03,971825.4,5.010
44,3.043091,,2.999816e-03,972076.3,5.010
45,3.237595,,2.999712e-03,973076.0,5.010
46,3.063806,,2.999586e-03,970814.6,5.010
47,3.057471,,2.999436e-03,970336.5,5.010
48,2.826957,,2.999264e-03,975772.0,5.010
49,2.871168,,2.999068e-03,971792.8,5.010
50,2.830440,2.875976,2.998850e-03,972762.6,5.010
51,2.781512,,2.998608e-03,966348.8,5.010
52,2.768199,,2.998344e-03,967253.3,5.010
53,2.859817,,2.998056e-03,971796.2,5.010
54,2.841469,,2.997746e-03,971779.0,5.010
55,2.812962,,2.997413e-03,975050.4,5.010
56,2.846728,,2.997056e-03,974891.3,5.010
57,2.756326,,2.996677e-03,974516.3,5.010
58,2.825570,,2.996275e-03,974599.2,5.010
59,2.685240,,2.995849e-03,969299.8,5.010
60,2.784948,,2.995401e-03,970679.2,5.010
61,2.641584,,2.994930e-03,968016.3,5.010
62,2.659249,,2.994436e-03,970735.8,5.010
63,2.670465,,2.993919e-03,973674.0,5.010
64,2.648139,,2.993379e-03,971276.0,5.010
65,2.656796,,2.992817e-03,975548.7,5.010
66,2.588465,,2.992231e-03,974181.3,5.010
67,2.581724,,2.991623e-03,973555.0,5.010
68,2.604872,,2.990991e-03,974796.2,5.010
