step,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,8.321966,8.320785,0.000000e+00,233252.1,4.664
1,8.320990,,7.500000e-05,928511.4,5.207
2,8.070954,,1.500000e-04,936433.6,5.207
3,7.879817,,2.250000e-04,937940.2,5.207
4,7.820287,,3.000000e-04,937676.2,5.207
5,7.751329,,3.750000e-04,936455.9,5.207
6,7.719227,,4.500000e-04,937701.8,5.207
7,7.634583,,5.250000e-04,936089.2,5.207
8,7.581691,,6.000000e-04,937359.7,5.207
9,7.519157,,6.750000e-04,937573.9,5.207
10,7.385628,,7.500000e-04,938583.9,5.207
11,7.326096,,8.250000e-04,937655.4,5.207
12,7.199746,,9.000000e-04,937514.7,5.207
13,7.076028,,9.750000e-04,938263.5,5.207
14,6.961308,,1.050000e-03,936223.1,5.207
15,6.781749,,1.125000e-03,933725.0,5.207
16,6.661759,,1.200000e-03,934718.8,5.207
17,6.504676,,1.275000e-03,937753.0,5.207
18,6.327387,,1.350000e-03,936471.9,5.207
19,6.138208,,1.425000e-03,936834.1,5.207
20,5.958560,,1.500000e-03,937257.4,5.207
21,5.777632,,1.575000e-03,935767.3,5.207
22,5.611193,,1.650000e-03,935305.6,5.207
23,5.377650,,1.725000e-03,935679.7,5.207
24,5.193619,,1.800000e-03,936968.2,5.207
25,5.010412,,1.875000e-03,936094.0,5.207
26,4.792797,,1.950000e-03,936636.2,5.207
27,4.610366,,2.025000e-03,936663.3,5.207
28,4.484470,,2.100000e-03,935694.1,5.207
29,4.310539,,2.175000e-03,935560.3,5.207
30,4.154310,,2.250000e-03,934036.0,5.207
31,4.108200,,2.325000e-03,934876.2,5.207
32,3.928875,,2.400000e-03,936384.1,5.207
33,3.839016,,2.475000e-03,937422.0,5.207
34,3.653991,,2.550000e-03,937564.3,5.207
35,3.558743,,2.625000e-03,938228.3,5.207
36,3.475213,,2.700000e-03,938652.8,5.207
37,3.389793,,2.775000e-03,937818.6,5.207
38,3.288469,,2.850000e-03,938101.8,5.207
39,3.257050,,2.925000e-03,938487.8,5.207
40,3.123854,,3.000000e-03,938089.0,5.207
41,3.169216,,2.999988e-03,937778.6,5.207
42,3.119959,,2.999954e-03,937981.8,5.207
43,3.087708,,2.999896e-03,938962.2,5.207
44,3.028792,,2.999816e-03,939066.5,5.207
45,3.012824,,2.999712e-03,938106.6,5.207
46,2.865099,,2.999586e-03,936830.9,5.207
47,2.970106,,2.999436e-03,937953.0,5.207
48,2.791833,,2.999264e-03,936755.9,5.207
49,2.862194,,2.999068e-03,934356.6,5.207
50,2.760154,2.832467,2.998850e-03,933369.9,5.207
51,2.739477,,2.998608e-03,933265.3,5.207
52,2.726092,,2.998344e-03,937217.4,5.207
53,2.787330,,2.998056e-03,937669.8,5.207
54,2.757116,,2.997746e-03,937354.9,5.207
55,2.708346,,2.997413e-03,936583.6,5.207
56,2.751752,,2.997056e-03,938247.5,5.207
57,2.655518,,2.996677e-03,938012.2,5.207
58,2.637365,,2.996275e-03,937914.6,5.207
59,2.602883,,2.995849e-03,939079.3,5.207
60,2.702321,,2.995401e-03,939244.6,5.207
61,2.570444,,2.994930e-03,938156.3,5.207
62,2.591349,,2.994436e-03,938406.1,5.207
63,2.605220,,2.993919e-03,937287.7,5.207
64,2.592752,,2.993379e-03,938377.2,5.207
65,2.613128,,2.992817e-03,939825.8,5.207
66,2.538958,,2.992231e-03,938633.6,5.207
67,2.525477,,2.991623e-03,936264.5,5.207
68,2.547724,,2.990991e-03,935006.6,5.207
69,2.457603,,2.990337e-03,935176.8,5.207
70,2.522363,,2.989660e-03,937136.0,5.207
71,2.565357,,2.988960e-03,937265.4,5.207
72,2.521089,,2.988237e-03,938116.2,5.207
73,2.593686,,2.987492e-03,937911.4,5.207
74,2.530901,,2.986724e-03,938441.3,5.207
75,2.532717,,2.985933e-03,936599.5,5.207
76,2.507199,,2.985119e-03,934927.1,5.207
77,2.483463,,2.984282e-03,932711.2,5.207
78,2.494227,,2.983423e-03,936347.5,5.207
79,2.497230,,2.982541e-03,938084.2,5.207
80,2.442928,,2.981636e-03,938018.6,5.207
81,2.394353,,2.980709e-03,939381.0,5.207
82,2.495182,,2.979758e-03,937425.2,5.207
83,2.473545,,2.978786e-03,929846.3,5.207
84,2.427322,,2.977790e-03,933118.0,5.207
85,2.428385,,2.976772e-03,937214.2,5.207
86,2.325562,,2.975731e-03,936867.7,5.207
87,2.381501,,2.974668e-03,938539.0,5.207
88,2.322149,,2.973582e-03,938790.7,5.207
89,2.319364,,2.972474e-03,935561.9,5.207
90,2.330487,,2.971343e-03,932825.1,5.207
91,2.362455,,2.970189e-03,933890.0,5.207
92,2.292495,,2.969014e-03,936046.1,5.207
93,2.365322,,2.967815e-03,935682.9,5.207
94,2.397850,,2.966594e-03,936952.3,5.207
95,2.369046,,2.965351e-03,938113.0,5.207
96,2.347618,,2.964085e-03,937738.6,5.207
97,2.263697,,2.962797e-03,932182.9,5.207
98,2.292361,,2.961486e-03,932249.3,5.207
99,2.203240,,2.960154e-03,933192.5,5.207
100,2.307782,2.312280,2.958798e-03,931925.4,5.207
101,2.260590,,2.957421e-03,932412.2,5.207
102,2.289414,,2.956021e-03,936655.4,5.207
103,2.261777,,2.954599e-03,935560.3,5.207
104,2.304907,,2.953155e-03,935087.7,5.207
105,2.222112,,2.951688e-03,934334.4,5.207
106,2.302950,,2.950200e-03,934615.5,5.207
107,2.233949,,2.948689e-03,933268.5,5.207
108,2.189387,,2.947156e-03,936460.7,5.207
109,2.198321,,2.945601e-03,937775.4,5.207
110,2.168556,,2.944023e-03,937626.6,5.207
111,2.155056,,2.942424e-03,934769.7,5.207
112,2.145526,,2.940803e-03,933482.4,5.207
113,2.186169,,2.939160e-03,931974.3,5.207
114,2.155376,,2.937495e-03,929656.0,5.207
115,2.165726,,2.935807e-03,933921.7,5.207
116,2.182693,,2.934098e-03,934720.4,5.207
117,2.176734,,2.932367e-03,938012.2,5.207
118,2.192640,,2.930615e-03,938825.9,5.207
119,2.123770,,2.928840e-03,938202.7,5.207
120,2.170087,,2.927044e-03,937780.2,5.207
121,2.134597,,2.925225e-03,936065.3,5.207
122,2.136545,,2.923386e-03,938140.2,5.207
123,2.124070,,2.921524e-03,938494.2,5.207
124,2.011100,,2.919641e-03,938753.8,5.207
125,2.144540,,2.917736e-03,937937.0,5.207
126,2.054389,,2.915809e-03,937485.9,5.207
127,2.115475,,2.913861e-03,937511.5,5.207
128,2.105486,,2.911891e-03,936582.0,5.207
129,2.113838,,2.909900e-03,938718.5,5.207
130,2.077364,,2.907888e-03,937263.8,5.207
131,2.124180,,2.905854e-03,937543.5,5.207
132,2.081878,,2.903798e-03,939353.7,5.207
133,2.096824,,2.901721e-03,937932.2,5.207
