step,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,8.327236,8.326984,0.000000e+00,249413.6,3.729
1,8.326003,,7.500000e-05,1268358.0,4.272
2,8.140497,,1.500000e-04,1276163.2,4.272
3,7.923268,,2.250000e-04,1280192.9,4.272
4,7.850734,,3.000000e-04,1277551.2,4.272
5,7.767861,,3.750000e-04,1277438.4,4.272
6,7.765643,,4.500000e-04,1277082.3,4.272
7,7.664725,,5.250000e-04,1282725.9,4.272
8,7.594519,,6.000000e-04,1287122.6,4.272
9,7.491265,,6.750000e-04,1283810.3,4.272
10,7.438100,,7.500000e-04,1279540.4,4.272
11,7.322742,,8.250000e-04,1279897.9,4.272
12,7.229063,,9.000000e-04,1278620.8,4.272
13,7.107258,,9.750000e-04,1281219.3,4.272
14,6.997949,,1.050000e-03,1276590.0,4.272
15,6.815245,,1.125000e-03,1278727.9,4.272
16,6.698534,,1.200000e-03,1277586.8,4.272
17,6.540196,,1.275000e-03,1279180.2,4.272
18,6.367594,,1.350000e-03,1282501.5,4.272
19,6.174461,,1.425000e-03,1282678.1,4.272
20,5.999142,,1.500000e-03,1285530.5,4.272
21,5.814880,,1.575000e-03,1285755.9,4.272
22,5.648823,,1.650000e-03,1288096.7,4.272
23,5.419744,,1.725000e-03,1286975.0,4.272
24,5.231825,,1.800000e-03,1284473.2,4.272
25,5.044437,,1.875000e-03,1283282.9,4.272
26,4.824031,,1.950000e-03,1283510.6,4.272
27,4.640617,,2.025000e-03,1285497.4,4.272
28,4.505982,,2.100000e-03,1286574.4,4.272
29,4.323487,,2.175000e-03,1286375.7,4.272
30,4.159184,,2.250000e-03,1286502.1,4.272
31,4.090898,,2.325000e-03,1285518.4,4.272
32,3.935062,,2.400000e-03,1282660.1,4.272
33,3.819944,,2.475000e-03,1279677.4,4.272
34,3.645946,,2.550000e-03,1283957.2,4.272
35,3.538782,,2.625000e-03,1281861.6,4.272
36,3.458207,,2.700000e-03,1282396.8,4.272
37,3.364565,,2.775000e-03,1286613.5,4.272
38,3.261736,,2.850000e-03,1285635.7,4.272
39,3.225218,,2.925000e-03,1285897.3,4.272
40,3.089809,,3.000000e-03,1287330.6,4.272
41,3.130417,,2.999988e-03,1285596.6,4.272
42,3.078463,,2.999954e-03,1282519.5,4.272
43,3.026116,,2.999896e-03,1280902.8,4.272
44,2.957836,,2.999816e-03,1281694.2,4.272
45,2.926161,,2.999712e-03,1282854.6,4.272
46,2.957922,,2.999586e-03,1284416.2,4.272
47,3.027960,,2.999436e-03,1287161.8,4.272
48,2.787877,,2.999264e-03,1286779.2,4.272
49,2.879332,,2.999068e-03,1284965.6,4.272
50,2.804253,2.844661,2.998850e-03,1285605.6,4.272
51,2.758261,,2.998608e-03,1276264.0,4.272
52,2.730243,,2.998344e-03,1276794.6,4.272
53,2.846229,,2.998056e-03,1279617.8,4.272
54,2.797189,,2.997746e-03,1278680.3,4.272
55,2.712856,,2.997413e-03,1281156.6,4.272
56,2.732120,,2.997056e-03,1283243.9,4.272
57,2.648003,,2.996677e-03,1282011.0,4.272
58,2.608998,,2.996275e-03,1285774.0,4.272
59,2.594162,,2.995849e-03,1284893.5,4.272
60,2.710562,,2.995401e-03,1285320.1,4.272
61,2.557936,,2.994930e-03,1278445.4,4.272
62,2.594661,,2.994436e-03,1277667.0,4.272
63,2.597301,,2.993919e-03,1278701.1,4.272
64,2.574807,,2.993379e-03,1280947.6,4.272
65,2.597071,,2.992817e-03,1281993.1,4.272
