step,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,8.331863,8.331808,0.000000e+00,249055.5,3.171
1,8.332902,,7.500000e-05,1476710.8,3.175
2,8.185216,,1.500000e-04,1488296.3,3.175
3,7.984754,,2.250000e-04,1491336.4,3.175
4,7.891850,,3.000000e-04,1494315.9,3.175
5,7.813234,,3.750000e-04,1491401.1,3.175
6,7.748779,,4.500000e-04,1491660.1,3.175
7,7.684574,,5.250000e-04,1492101.4,3.175
8,7.632917,,6.000000e-04,1493508.0,3.175
9,7.529540,,6.750000e-04,1489445.5,3.175
10,7.427630,,7.500000e-04,1483833.4,3.175
11,7.305022,,8.250000e-04,1472309.1,3.175
12,7.218219,,9.000000e-04,1486815.1,3.175
13,7.094448,,9.750000e-04,1488836.4,3.175
14,6.967298,,1.050000e-03,1489845.1,3.175
15,6.785113,,1.125000e-03,1487402.4,3.175
16,6.656919,,1.200000e-03,1480285.5,3.175
17,6.504964,,1.275000e-03,1465452.8,3.175
18,6.335461,,1.350000e-03,1494953.8,3.175
19,6.139443,,1.425000e-03,1491741.1,3.175
20,5.962453,,1.500000e-03,1495018.9,3.175
21,5.775760,,1.575000e-03,1489857.2,3.175
22,5.614627,,1.650000e-03,1490382.3,3.175
23,5.379218,,1.725000e-03,1483184.9,3.175
24,5.199716,,1.800000e-03,1490026.8,3.175
25,5.016716,,1.875000e-03,1485722.1,3.175
26,4.804105,,1.950000e-03,1488808.2,3.175
27,4.621762,,2.025000e-03,1491563.0,3.175
28,4.490719,,2.100000e-03,1496671.3,3.175
29,4.310844,,2.175000e-03,1495153.0,3.175
30,4.142082,,2.250000e-03,1496813.9,3.175
31,4.063976,,2.325000e-03,1495149.0,3.175
32,3.925911,,2.400000e-03,1493398.5,3.175
33,3.867187,,2.475000e-03,1496239.5,3.175
34,3.652049,,2.550000e-03,1490446.9,3.175
35,3.540308,,2.625000e-03,1497066.7,3.175
36,3.469507,,2.700000e-03,1495852.8,3.175
