step,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,8.328144,8.328108,0.000000e+00,258135.3,2.699
1,8.327299,,7.500000e-05,1955674.7,2.703
2,8.211783,,1.500000e-04,1967355.4,2.703
3,8.039205,,2.250000e-04,1973648.4,2.703
4,7.910660,,3.000000e-04,1968066.7,2.703
5,7.835619,,3.750000e-04,1975123.3,2.703
6,7.776232,,4.500000e-04,1976820.7,2.703
7,7.686803,,5.250000e-04,1979155.0,2.703
8,7.637505,,6.000000e-04,1976763.8,2.703
9,7.561658,,6.750000e-04,1979425.8,2.703
10,7.439695,,7.500000e-04,1955333.9,2.703
11,7.326341,,8.250000e-04,1947879.3,2.703
12,7.219103,,9.000000e-04,1957973.3,2.703
13,7.164038,,9.750000e-04,1948100.2,2.703
14,6.996363,,1.050000e-03,1950069.6,2.703
15,6.815008,,1.125000e-03,1955104.4,2.703
16,6.699140,,1.200000e-03,1944558.3,2.703
17,6.533033,,1.275000e-03,1949274.4,2.703
18,6.363098,,1.350000e-03,1962782.7,2.703
19,6.170868,,1.425000e-03,1974995.6,2.703
20,5.994342,,1.500000e-03,1971468.5,2.703
21,5.813039,,1.575000e-03,1976842.0,2.703
22,5.645386,,1.650000e-03,1979924.8,2.703
23,5.418859,,1.725000e-03,1977602.9,2.703
24,5.239428,,1.800000e-03,1978720.4,2.703
25,5.055569,,1.875000e-03,1979546.9,2.703
26,4.849468,,1.950000e-03,1970804.1,2.703
27,4.676966,,2.025000e-03,1978129.5,2.703
28,4.540307,,2.100000e-03,1982409.4,2.703
29,4.363308,,2.175000e-03,1977916.0,2.703
30,4.200999,,2.250000e-03,1977972.9,2.703
31,4.123806,,2.325000e-03,1973967.3,2.703
32,3.984790,,2.400000e-03,1979190.6,2.703
33,3.922068,,2.475000e-03,1978435.6,2.703
34,3.720296,,2.550000e-03,1978948.4,2.703
35,3.610305,,2.625000e-03,1982130.6,2.703
36,3.528064,,2.700000e-03,1977901.8,2.703
37,3.436423,,2.775000e-03,1980902.2,2.703
38,3.331707,,2.850000e-03,1978998.2,2.703
39,3.291289,,2.925000e-03,1982130.6,2.703
40,3.160091,,3.000000e-03,1981009.2,2.703
41,3.246175,,2.999988e-03,1976543.5,2.703
42,3.148505,,2.999954e-03,1979169.2,2.703
43,3.113648,,2.999896e-03,1981523.3,2.703
44,3.035282,,2.999816e-03,1972720.6,2.703
45,2.992346,,2.999712e-03,1976586.2,2.703
46,2.847564,,2.999586e-03,1977311.3,2.703
47,2.939078,,2.999436e-03,1982302.1,2.703
48,2.756513,,2.999264e-03,1974428.1,2.703
49,2.816484,,2.999068e-03,1979582.6,2.703
50,2.714209,2.779437,2.998850e-03,1981680.5,2.703
51,2.689688,,2.998608e-03,1942380.4,2.703
52,2.682012,,2.998344e-03,1960955.4,2.703
53,2.731831,,2.998056e-03,1971327.1,2.703
54,2.700422,,2.997746e-03,1981659.0,2.703
55,2.647098,,2.997413e-03,1977332.6,2.703
56,2.672606,,2.997056e-03,1976323.2,2.703
57,2.579994,,2.996677e-03,1976167.0,2.703
58,2.563214,,2.996275e-03,1969258.1,2.703
