step,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,8.339153,8.338222,0.000000e+00,260325.2,2.368
1,8.338384,,7.500000e-05,2375001.4,2.374
2,8.264570,,1.500000e-04,2403808.5,2.374
3,8.133869,,2.250000e-04,2409708.9,2.374
4,7.992790,,3.000000e-04,2388840.5,2.374
5,7.868252,,3.750000e-04,2372295.7,2.374
6,7.792507,,4.500000e-04,2411664.5,2.374
7,7.721336,,5.250000e-04,2405417.7,2.374
8,7.659716,,6.000000e-04,2407883.0,2.374
9,7.570159,,6.750000e-04,2425272.0,2.374
10,7.468817,,7.500000e-04,2418411.9,2.374
11,7.353768,,8.250000e-04,2412056.0,2.374
12,7.248283,,9.000000e-04,2409191.5,2.374
13,7.119104,,9.750000e-04,2377692.6,2.374
14,6.986374,,1.050000e-03,2404670.7,2.374
15,6.811258,,1.125000e-03,2394928.4,2.374
16,6.687145,,1.200000e-03,2417231.6,2.374
17,6.522026,,1.275000e-03,2414004.9,2.374
18,6.340933,,1.350000e-03,2419625.3,2.374
19,6.148579,,1.425000e-03,2415574.7,2.374
20,5.962578,,1.500000e-03,2438060.5,2.374
21,5.782240,,1.575000e-03,2432203.5,2.374
22,5.617564,,1.650000e-03,2412225.4,2.374
23,5.386744,,1.725000e-03,2388487.6,2.374
24,5.207859,,1.800000e-03,2389318.1,2.374
25,5.028682,,1.875000e-03,2413305.5,2.374
26,4.816142,,1.950000e-03,2416487.8,2.374
27,4.639968,,2.025000e-03,2417050.9,2.374
28,4.517538,,2.100000e-03,2420903.9,2.374
29,4.347318,,2.175000e-03,2423753.7,2.374
30,4.203006,,2.250000e-03,2431385.9,2.374
31,4.163937,,2.325000e-03,2393677.1,2.374
32,3.991568,,2.400000e-03,2410226.6,2.374
33,3.938317,,2.475000e-03,2399067.1,2.374
34,3.740761,,2.550000e-03,2381513.9,2.374
35,3.642986,,2.625000e-03,2423497.3,2.374
36,3.552071,,2.700000e-03,2412998.3,2.374
37,3.464755,,2.775000e-03,2406681.3,2.374
38,3.348091,,2.850000e-03,2408832.6,2.374
39,3.312349,,2.925000e-03,2403230.6,2.374
40,3.179298,,3.000000e-03,2389401.2,2.374
41,3.225863,,2.999988e-03,2363727.8,2.374
42,3.164035,,2.999954e-03,2397225.9,2.374
43,3.105109,,2.999896e-03,2412458.3,2.374
44,3.033714,,2.999816e-03,2399726.8,2.374
45,2.984375,,2.999712e-03,2390804.0,2.374
46,2.843233,,2.999586e-03,2380173.5,2.374
47,2.935532,,2.999436e-03,2400607.0,2.374
48,2.772659,,2.999264e-03,2408252.2,2.374
49,2.839376,,2.999068e-03,2381864.7,2.374
50,2.717519,2.784049,2.998850e-03,2369606.5,2.374
51,2.692600,,2.998608e-03,2366729.7,2.374
52,2.685483,,2.998344e-03,2408906.5,2.374
53,2.742938,,2.998056e-03,2408041.2,2.374
54,2.708633,,2.997746e-03,2396588.4,2.374
55,2.651218,,2.997413e-03,2410142.1,2.374
56,2.674599,,2.997056e-03,2407798.7,2.374
57,2.582196,,2.996677e-03,2387170.5,2.374
58,2.556951,,2.996275e-03,2372899.9,2.374
59,2.536479,,2.995849e-03,2407946.3,2.374
60,2.625209,,2.995401e-03,2418433.2,2.374
61,2.506486,,2.994930e-03,2416944.7,2.374
62,2.526834,,2.994436e-03,2379957.1,2.374
63,2.537411,,2.993919e-03,2394782.3,2.374
64,2.529014,,2.993379e-03,2370822.5,2.374
65,2.544179,,2.992817e-03,2416073.6,2.374
66,2.465729,,2.992231e-03,2417603.6,2.374
67,2.463356,,2.991623e-03,2406755.1,2.374
68,2.493724,,2.990991e-03,2413803.5,2.374
69,2.394116,,2.990337e-03,2401834.1,2.374
70,2.449036,,2.989660e-03,2393770.9,2.374
71,2.492978,,2.988960e-03,2394323.4,2.374
72,2.437321,,2.988237e-03,2404891.6,2.374
73,2.471376,,2.987492e-03,2416944.7,2.374
74,2.438275,,2.986724e-03,2429999.6,2.374
75,2.451553,,2.985933e-03,2425764.3,2.374
76,2.418541,,2.985119e-03,2389079.3,2.374
77,2.427750,,2.984282e-03,2420957.2,2.374
78,2.421314,,2.983423e-03,2427638.9,2.374
79,2.426314,,2.982541e-03,2421778.4,2.374
80,2.357468,,2.981636e-03,2420861.3,2.374
81,2.307430,,2.980709e-03,2422002.5,2.374
82,2.413153,,2.979758e-03,2396985.5,2.374
83,2.392608,,2.978786e-03,2400659.4,2.374
84,2.355543,,2.977790e-03,2420637.5,2.374
85,2.364745,,2.976772e-03,2425453.9,2.374
86,2.288568,,2.975731e-03,2428625.5,2.374
87,2.322138,,2.974668e-03,2427960.5,2.374
88,2.268946,,2.973582e-03,2426310.3,2.374
89,2.281505,,2.972474e-03,2414185.1,2.374
90,2.269387,,2.971343e-03,2400984.5,2.374
91,2.303012,,2.970189e-03,2416859.6,2.374
92,2.245839,,2.969014e-03,2428807.9,2.374
93,2.279936,,2.967815e-03,2427145.8,2.374
94,2.314310,,2.966594e-03,2386383.0,2.374
95,2.308760,,2.965351e-03,2404860.0,2.374
96,2.276680,,2.964085e-03,2410279.4,2.374
97,2.210289,,2.962797e-03,2417518.6,2.374
98,2.231144,,2.961486e-03,2397748.7,2.374
99,2.158879,,2.960154e-03,2404155.4,2.374
100,2.239379,2.248279,2.958798e-03,2398355.4,2.374
101,2.197611,,2.957421e-03,2360804.5,2.374
102,2.230876,,2.956021e-03,2383909.8,2.374
103,2.200974,,2.954599e-03,2395700.7,2.374
104,2.239052,,2.953155e-03,2402810.4,2.374
105,2.176177,,2.951688e-03,2402841.9,2.374
106,2.239840,,2.950200e-03,2414079.1,2.374
107,2.189439,,2.948689e-03,2401236.2,2.374
108,2.143367,,2.947156e-03,2401456.4,2.374
109,2.144206,,2.945601e-03,2413782.3,2.374
110,2.111080,,2.944023e-03,2423529.3,2.374
111,2.099481,,2.942424e-03,2412278.3,2.374
112,2.117421,,2.940803e-03,2410765.6,2.374
113,2.147160,,2.939160e-03,2417635.5,2.374
114,2.116144,,2.937495e-03,2429376.8,2.374
115,2.144107,,2.935807e-03,2425261.3,2.374
116,2.157215,,2.934098e-03,2420903.9,2.374
117,2.152228,,2.932367e-03,2430579.7,2.374
118,2.168871,,2.930615e-03,2419678.6,2.374
119,2.091605,,2.928840e-03,2425496.7,2.374
120,2.128606,,2.927044e-03,2403461.7,2.374
121,2.086877,,2.925225e-03,2392999.8,2.374
122,2.112346,,2.923386e-03,2421405.1,2.374
123,2.080250,,2.921524e-03,2428625.5,2.374
124,1.983667,,2.919641e-03,2432784.7,2.374
125,2.107617,,2.917736e-03,2417146.6,2.374
126,2.032256,,2.915809e-03,2414662.3,2.374
127,2.067779,,2.913861e-03,2424640.9,2.374
128,2.059826,,2.911891e-03,2424512.6,2.374
129,2.094894,,2.909900e-03,2425732.2,2.374
130,2.058123,,2.907888e-03,2424555.4,2.374
131,2.088280,,2.905854e-03,2425807.1,2.374
132,2.065104,,2.903798e-03,2423914.0,2.374
133,2.077631,,2.901721e-03,2429580.8,2.374
134,2.102035,,2.899623e-03,2424031.6,2.374
135,1.996611,,2.897504e-03,2424298.8,2.374
136,2.005583,,2.895363e-03,2408505.4,2.374
137,1.967523,,2.893201e-03,2403840.0,2.374
138,2.014737,,2.891018e-03,2414068.5,2.374
139,1.987670,,2.888814e-03,2362559.6,2.374
140,1.979398,,2.886588e-03,2419550.8,2.374
141,1.990177,,2.884342e-03,2428507.5,2.374
142,1.996508,,2.882074e-03,2422931.2,2.374
143,2.026574,,2.879786e-03,2419529.5,2.374
144,1.974643,,2.877476e-03,2417571.7,2.374
145,1.972380,,2.875146e-03,2402201.5,2.374
146,2.063336,,2.872795e-03,2367249.5,2.374
147,1.985489,,2.870423e-03,2403913.6,2.374
148,1.902690,,2.868030e-03,2416190.5,2.374
149,1.913170,,2.865616e-03,2428797.2,2.374
150,1.911349,1.974741,2.863182e-03,2418699.2,2.374
151,1.929714,,2.860727e-03,2365100.6,2.374
152,1.944527,,2.858251e-03,2407735.4,2.374
153,1.891472,,2.855755e-03,2404355.2,2.374
154,1.952908,,2.853238e-03,2414916.8,2.374
155,1.947628,,2.850701e-03,2354273.5,2.374
156,1.927566,,2.848143e-03,2398522.8,2.374
157,1.896929,,2.845565e-03,2412246.6,2.374
158,1.930430,,2.842966e-03,2413019.5,2.374
159,1.906986,,2.840347e-03,2405354.6,2.374
160,1.851974,,2.837708e-03,2415733.9,2.374
161,1.902187,,2.835049e-03,2403713.9,2.374
162,1.921154,,2.832369e-03,2379473.0,2.374
163,1.810208,,2.829669e-03,2412468.8,2.374
164,1.909092,,2.826949e-03,2415850.7,2.374
165,1.853185,,2.824209e-03,2368381.5,2.374
166,1.897886,,2.821450e-03,2408980.3,2.374
167,1.871952,,2.818670e-03,2406070.4,2.374
168,1.931351,,2.815870e-03,2412627.7,2.374
169,1.903740,,2.813050e-03,2389193.5,2.374
170,1.853187,,2.810211e-03,2392395.8,2.374
171,1.837125,,2.807351e-03,2402484.9,2.374
172,1.880282,,2.804472e-03,2401288.6,2.374
173,1.840805,,2.801574e-03,2416402.9,2.374
174,1.871748,,2.798655e-03,2420733.4,2.374
175,1.827965,,2.795717e-03,2414641.0,2.374
176,1.817330,,2.792760e-03,2417539.8,2.374
177,1.823660,,2.789783e-03,2421735.8,2.374
178,1.891425,,2.786787e-03,2419742.5,2.374
179,1.826815,,2.783771e-03,2424983.2,2.374
180,1.854028,,2.780736e-03,2399915.4,2.374
181,1.816295,,2.777682e-03,2410807.9,2.374
182,1.789303,,2.774608e-03,2426524.5,2.374
183,1.808009,,2.771515e-03,2401771.2,2.374
184,1.813601,,2.768404e-03,2388892.4,2.374
185,1.774728,,2.765273e-03,2426203.2,2.374
186,1.805184,,2.762123e-03,2432978.5,2.374
187,1.833394,,2.758954e-03,2372019.4,2.374
188,1.830867,,2.755766e-03,2392177.2,2.374
189,1.788801,,2.752560e-03,2408980.3,2.374
190,1.866624,,2.749335e-03,2404954.7,2.374
191,1.781189,,2.746090e-03,2402831.4,2.374
192,1.846864,,2.742828e-03,2400743.3,2.374
193,1.763328,,2.739546e-03,2399527.8,2.374
194,1.857197,,2.736246e-03,2392937.3,2.374
195,1.705795,,2.732928e-03,2410321.7,2.374
196,1.801401,,2.729591e-03,2414842.6,2.374
197,1.799370,,2.726236e-03,2411971.4,2.374
198,1.822847,,2.722862e-03,2397048.2,2.374
199,1.682795,,2.719470e-03,2415946.2,2.374
200,1.846791,1.795310,2.716060e-03,2416604.7,2.374
201,1.708845,,2.712632e-03,2371415.7,2.374
202,1.798229,,2.709185e-03,2414185.1,2.374
203,1.804916,,2.705721e-03,2382948.8,2.374
204,1.790950,,2.702238e-03,2398889.1,2.374
205,1.724387,,2.698738e-03,2407556.1,2.374
206,1.772413,,2.695219e-03,2391240.8,2.374
207,1.764327,,2.691683e-03,2423678.9,2.374
208,1.701871,,2.688129e-03,2429183.5,2.374
209,1.727969,,2.684558e-03,2416137.4,2.374
210,1.739105,,2.680969e-03,2377692.6,2.374
211,1.742591,,2.677362e-03,2374898.8,2.374
212,1.707933,,2.673738e-03,2310772.2,2.374
213,1.755540,,2.670096e-03,2350468.7,2.374
214,1.678614,,2.666437e-03,2339207.3,2.374
215,1.782784,,2.662761e-03,2388186.8,2.374
216,1.726767,,2.659067e-03,2390263.5,2.374
217,1.743421,,2.655356e-03,2405501.9,2.374
218,1.742041,,2.651628e-03,2410353.4,2.374
219,1.696898,,2.647883e-03,2415521.6,2.374
220,1.685631,,2.644121e-03,2420147.3,2.374
221,1.745560,,2.640342e-03,2404534.0,2.374
222,1.638857,,2.636546e-03,2407218.8,2.374
223,1.693041,,2.632733e-03,2414768.3,2.374
224,1.756072,,2.628904e-03,2380173.5,2.374
225,1.735241,,2.625058e-03,2406944.8,2.374
226,1.712209,,2.621195e-03,2414747.1,2.374
227,1.704264,,2.617315e-03,2410881.9,2.374
228,1.726493,,2.613420e-03,2388321.6,2.374
229,1.692004,,2.609507e-03,2398386.8,2.374
230,1.695451,,2.605579e-03,2357140.2,2.374
231,1.676346,,2.601634e-03,2391917.0,2.374
232,1.659349,,2.597673e-03,2361920.2,2.374
233,1.660694,,2.593696e-03,2323605.7,2.374
234,1.742146,,2.589702e-03,2343055.6,2.374
235,1.690195,,2.585693e-03,2387408.9,2.374
236,1.671172,,2.581668e-03,2390980.8,2.374
237,1.638486,,2.577627e-03,2361169.5,2.374
238,1.686523,,2.573570e-03,2385927.3,2.374
239,1.675642,,2.569497e-03,2382246.6,2.374
240,1.641101,,2.565409e-03,2373760.5,2.374
241,1.625611,,2.561305e-03,2370066.2,2.374
242,1.592108,,2.557185e-03,2394094.0,2.374
243,1.679508,,2.553050e-03,2388954.7,2.374
244,1.727339,,2.548900e-03,2399046.1,2.374
245,1.633180,,2.544734e-03,2402694.9,2.374
246,1.603579,,2.540553e-03,2349705.1,2.374
247,1.654770,,2.536357e-03,2396097.5,2.374
248,1.648076,,2.532146e-03,2408663.7,2.374
249,1.640208,,2.527920e-03,2415542.9,2.374
250,1.632079,1.679349,2.523679e-03,2413040.7,2.374
251,1.700299,,2.519422e-03,2346676.1,2.374
252,1.654523,,2.515152e-03,2398836.8,2.374
253,1.596386,,2.510866e-03,2380462.1,2.374
254,1.634657,,2.506566e-03,2340013.8,2.374
255,1.594109,,2.502251e-03,2405933.5,2.374
256,1.654348,,2.497921e-03,2405786.1,2.374
257,1.698947,,2.493577e-03,2404733.8,2.374
258,1.640346,,2.489219e-03,2416583.4,2.374
259,1.643069,,2.484846e-03,2409962.4,2.374
260,1.632849,,2.480460e-03,2394333.9,2.374
261,1.612900,,2.476059e-03,2421575.8,2.374
262,1.583679,,2.471644e-03,2414948.6,2.374
