step,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,8.324917,8.324882,0.000000e+00,131780.5,14.068
1,8.324854,,7.500000e-05,227370.6,15.141
2,7.950985,,1.500000e-04,225956.2,15.141
3,7.887013,,2.250000e-04,225910.0,15.141
4,7.971424,,3.000000e-04,225454.7,15.141
5,7.834171,,3.750000e-04,225865.4,15.141
6,7.916971,,4.500000e-04,226364.9,15.141
7,7.733408,,5.250000e-04,226242.5,15.141
8,7.697000,,6.000000e-04,226386.7,15.141
9,7.632799,,6.750000e-04,226297.5,15.141
10,8.100331,,7.500000e-04,225852.4,15.141
11,7.453683,,8.250000e-04,226483.6,15.141
12,7.382228,,9.000000e-04,226772.7,15.141
13,7.291960,,9.750000e-04,226927.3,15.141
14,7.163715,,1.050000e-03,226564.3,15.141
15,6.995243,,1.125000e-03,227110.4,15.141
16,6.873995,,1.200000e-03,227019.8,15.141
17,6.730004,,1.275000e-03,227168.8,15.141
18,6.552474,,1.350000e-03,227171.0,15.141
19,6.364594,,1.425000e-03,226666.6,15.141
20,6.185176,,1.500000e-03,227259.6,15.141
21,6.002516,,1.575000e-03,227087.0,15.141
22,5.835468,,1.650000e-03,227375.4,15.141
23,5.609073,,1.725000e-03,227140.3,15.141
24,5.430932,,1.800000e-03,227502.3,15.141
25,5.251370,,1.875000e-03,227115.1,15.141
26,5.051666,,1.950000e-03,226934.5,15.141
27,4.878978,,2.025000e-03,227257.7,15.141
28,4.751717,,2.100000e-03,227243.6,15.141
29,4.589931,,2.175000e-03,227174.5,15.141
30,4.438683,,2.250000e-03,226917.2,15.141
31,4.374846,,2.325000e-03,227311.6,15.141
32,4.258544,,2.400000e-03,227297.9,15.141
33,4.174236,,2.475000e-03,227554.5,15.141
34,4.030720,,2.550000e-03,227227.9,15.141
35,3.966263,,2.625000e-03,227484.5,15.141
36,3.920763,,2.700000e-03,226454.2,15.141
37,3.880754,,2.775000e-03,227804.4,15.141
38,3.806357,,2.850000e-03,227311.0,15.141
39,3.836323,,2.925000e-03,227194.4,15.141
40,3.745462,,3.000000e-03,227361.0,15.141
41,3.875597,,2.999988e-03,227021.4,15.141
42,3.904176,,2.999954e-03,227181.8,15.141
43,3.829703,,2.999896e-03,226421.1,15.141
44,3.780745,,2.999816e-03,226852.9,15.141
45,3.800572,,2.999712e-03,227157.7,15.141
46,3.724285,,2.999586e-03,226718.1,15.141
47,3.853905,,2.999436e-03,226895.2,15.141
48,3.683165,,2.999264e-03,227274.9,15.141
49,3.755104,,2.999068e-03,226610.8,15.141
50,3.693286,3.736549,2.998850e-03,226703.5,15.141
51,3.633806,,2.998608e-03,226635.1,15.141
52,3.648413,,2.998344e-03,226664.8,15.141
53,3.753001,,2.998056e-03,227247.5,15.141
54,3.699801,,2.997746e-03,226482.6,15.141
55,3.649060,,2.997413e-03,226910.7,15.141
56,3.682280,,2.997056e-03,226923.9,15.141
57,3.602667,,2.996677e-03,226673.8,15.141
58,3.560224,,2.996275e-03,226282.3,15.141
59,3.557810,,2.995849e-03,226644.0,15.141
60,3.685769,,2.995401e-03,226557.2,15.141
61,3.482371,,2.994930e-03,226870.2,15.141
62,3.556264,,2.994436e-03,226499.2,15.141
63,3.629100,,2.993919e-03,226207.6,15.141
64,3.543353,,2.993379e-03,226495.0,15.141
65,3.595936,,2.992817e-03,226484.1,15.141
66,3.460261,,2.992231e-03,226188.1,15.141
67,3.474434,,2.991623e-03,226783.8,15.141
68,3.458899,,2.990991e-03,226415.8,15.141
69,3.420524,,2.990337e-03,226252.2,15.141
70,3.437635,,2.989660e-03,226324.6,15.141
71,3.443891,,2.988960e-03,226677.3,15.141
72,3.369896,,2.988237e-03,226637.4,15.141
73,3.422048,,2.987492e-03,226617.9,15.141
74,3.346654,,2.986724e-03,226408.1,15.141
75,3.346971,,2.985933e-03,226392.4,15.141
76,3.326192,,2.985119e-03,226340.6,15.141
77,3.283975,,2.984282e-03,226447.4,15.141
78,3.320945,,2.983423e-03,226092.6,15.141
79,3.299441,,2.982541e-03,226472.8,15.141
80,3.243352,,2.981636e-03,225919.8,15.141
81,3.210581,,2.980709e-03,226474.1,15.141
82,3.287352,,2.979758e-03,226120.4,15.141
83,3.241505,,2.978786e-03,226773.2,15.141
84,3.226800,,2.977790e-03,226204.6,15.141
85,3.229903,,2.976772e-03,225943.5,15.141
86,3.122464,,2.975731e-03,226682.2,15.141
87,3.179882,,2.974668e-03,226467.1,15.141
88,3.117387,,2.973582e-03,226611.7,15.141
89,3.091777,,2.972474e-03,226302.5,15.141
90,3.105027,,2.971343e-03,226548.7,15.141
91,3.133467,,2.970189e-03,226365.9,15.141
92,3.069912,,2.969014e-03,226953.6,15.141
93,3.137339,,2.967815e-03,226370.5,15.141
94,3.183908,,2.966594e-03,226748.0,15.141
95,3.136809,,2.965351e-03,226384.7,15.141
96,3.101252,,2.964085e-03,226619.4,15.141
97,3.061840,,2.962797e-03,226551.1,15.141
98,3.069310,,2.961486e-03,226177.8,15.141
99,2.986625,,2.960154e-03,226821.9,15.141
100,3.050740,3.086532,2.958798e-03,226249.2,15.141
101,3.057898,,2.957421e-03,225079.3,15.141
102,3.118485,,2.956021e-03,226312.4,15.141
103,3.039324,,2.954599e-03,225668.0,15.141
104,3.054935,,2.953155e-03,226607.7,15.141
105,2.996679,,2.951688e-03,226700.3,15.141
106,3.096613,,2.950200e-03,226620.7,15.141
107,3.018103,,2.948689e-03,226571.1,15.141
108,2.970230,,2.947156e-03,226768.6,15.141
109,2.961149,,2.945601e-03,226009.8,15.141
110,2.933499,,2.944023e-03,226833.4,15.141
111,2.923390,,2.942424e-03,226482.8,15.141
112,2.942235,,2.940803e-03,226354.0,15.141
113,3.005256,,2.939160e-03,226572.6,15.141
114,2.959215,,2.937495e-03,226458.3,15.141
115,2.970921,,2.935807e-03,227013.7,15.141
116,2.981625,,2.934098e-03,226532.3,15.141
117,2.961126,,2.932367e-03,226963.8,15.141
118,3.001101,,2.930615e-03,226759.3,15.141
119,2.925801,,2.928840e-03,226636.0,15.141
120,2.960103,,2.927044e-03,226567.6,15.141
121,2.886457,,2.925225e-03,226757.6,15.141
122,2.914242,,2.923386e-03,226606.0,15.141
123,2.896784,,2.921524e-03,227009.1,15.141
124,2.831033,,2.919641e-03,226678.5,15.141
125,2.954756,,2.917736e-03,226577.8,15.141
126,2.834514,,2.915809e-03,226527.8,15.141
127,2.902509,,2.913861e-03,226733.9,15.141
128,2.900950,,2.911891e-03,226725.8,15.141
129,3.000554,,2.909900e-03,227012.8,15.141
130,3.072050,,2.907888e-03,226589.1,15.141
131,3.079579,,2.905854e-03,226748.9,15.141
132,3.018476,,2.903798e-03,226495.6,15.141
133,3.061712,,2.901721e-03,226538.0,15.141
134,3.067073,,2.899623e-03,226580.9,15.141
135,2.927453,,2.897504e-03,226468.3,15.141
136,2.963414,,2.895363e-03,226579.7,15.141
137,3.106588,,2.893201e-03,226392.7,15.141
138,3.094423,,2.891018e-03,226516.1,15.141
139,2.976345,,2.888814e-03,226875.3,15.141
140,3.067058,,2.886588e-03,226842.2,15.141
141,3.049339,,2.884342e-03,226689.4,15.141
142,3.006783,,2.882074e-03,226832.5,15.141
143,3.058918,,2.879786e-03,226227.1,15.141
144,2.993241,,2.877476e-03,226726.0,15.141
145,3.031223,,2.875146e-03,226497.1,15.141
146,3.084013,,2.872795e-03,226428.1,15.141
147,2.965183,,2.870423e-03,227060.6,15.141
148,2.887984,,2.868030e-03,226812.2,15.141
149,2.939289,,2.865616e-03,227006.0,15.141
150,2.900203,2.950897,2.863182e-03,226732.7,15.141
151,2.923090,,2.860727e-03,225111.6,15.141
