step,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,8.318665,8.318614,0.000000e+00,206368.7,5.935
1,8.319147,,7.500000e-05,611901.8,6.472
2,8.012909,,1.500000e-04,612003.3,6.472
3,7.859806,,2.250000e-04,609676.7,6.472
4,7.795435,,3.000000e-04,609709.8,6.472
5,7.849714,,3.750000e-04,608592.7,6.472
6,7.806389,,4.500000e-04,610225.5,6.472
7,7.690992,,5.250000e-04,610865.6,6.472
8,7.602500,,6.000000e-04,609221.3,6.472
9,7.541222,,6.750000e-04,607505.9,6.472
10,7.434010,,7.500000e-04,607993.0,6.472
11,7.315823,,8.250000e-04,608056.9,6.472
12,7.262724,,9.000000e-04,610719.0,6.472
13,7.152043,,9.750000e-04,609363.1,6.472
14,7.007435,,1.050000e-03,611022.4,6.472
15,6.848171,,1.125000e-03,608361.7,6.472
16,6.721293,,1.200000e-03,610010.9,6.472
17,6.566436,,1.275000e-03,607983.6,6.472
18,6.395396,,1.350000e-03,609965.5,6.472
19,6.207444,,1.425000e-03,609203.1,6.472
20,6.031677,,1.500000e-03,609776.1,6.472
21,5.861722,,1.575000e-03,608979.0,6.472
22,5.686516,,1.650000e-03,610814.0,6.472
23,5.463631,,1.725000e-03,610780.1,6.472
24,5.275415,,1.800000e-03,612542.7,6.472
25,5.102828,,1.875000e-03,611209.9,6.472
26,4.890164,,1.950000e-03,609259.1,6.472
27,4.700227,,2.025000e-03,610133.4,6.472
28,4.575962,,2.100000e-03,610822.8,6.472
29,4.392977,,2.175000e-03,610453.2,6.472
30,4.232102,,2.250000e-03,610765.8,6.472
31,4.157807,,2.325000e-03,611343.8,6.472
32,4.016757,,2.400000e-03,610229.6,6.472
33,3.920601,,2.475000e-03,610521.0,6.472
34,3.759783,,2.550000e-03,610348.8,6.472
35,3.686253,,2.625000e-03,610570.5,6.472
36,3.614676,,2.700000e-03,612576.8,6.472
37,3.577410,,2.775000e-03,610436.2,6.472
38,3.447613,,2.850000e-03,610113.8,6.472
39,3.599200,,2.925000e-03,609418.5,6.472
40,3.501864,,3.000000e-03,611541.0,6.472
41,4.113662,,2.999988e-03,609568.5,6.472
42,3.861843,,2.999954e-03,610172.0,6.472
43,3.884115,,2.999896e-03,609325.3,6.472
44,3.576737,,2.999816e-03,609221.3,6.472
45,3.535282,,2.999712e-03,610771.9,6.472
46,3.414841,,2.999586e-03,609798.4,6.472
47,3.527349,,2.999436e-03,610696.6,6.472
48,3.290925,,2.999264e-03,610728.5,6.472
49,3.282759,,2.999068e-03,610747.5,6.472
50,3.188327,3.191116,2.998850e-03,609924.9,6.472
51,3.096069,,2.998608e-03,612754.3,6.472
52,3.094704,,2.998344e-03,611096.5,6.472
53,3.148920,,2.998056e-03,610812.6,6.472
54,3.107964,,2.997746e-03,611687.3,6.472
55,3.037155,,2.997413e-03,611289.4,6.472
56,3.064679,,2.997056e-03,611539.7,6.472
57,2.967602,,2.996677e-03,609940.5,6.472
58,2.933454,,2.996275e-03,612091.2,6.472
59,2.921023,,2.995849e-03,611349.9,6.472
60,3.025673,,2.995401e-03,610827.6,6.472
61,2.871110,,2.994930e-03,611291.5,6.472
62,2.900586,,2.994436e-03,611323.4,6.472
63,2.920756,,2.993919e-03,610765.1,6.472
64,2.892153,,2.993379e-03,611681.9,6.472
65,2.916856,,2.992817e-03,610777.4,6.472
66,2.829568,,2.992231e-03,610228.2,6.472
67,2.823104,,2.991623e-03,611973.3,6.472
68,2.846503,,2.990991e-03,612342.1,6.472
69,2.754143,,2.990337e-03,611353.3,6.472
70,2.786725,,2.989660e-03,610323.1,6.472
71,2.853246,,2.988960e-03,612053.0,6.472
72,2.785814,,2.988237e-03,610672.2,6.472
73,2.813574,,2.987492e-03,611039.4,6.472
74,2.779137,,2.986724e-03,608770.0,6.472
75,2.769161,,2.985933e-03,609983.8,6.472
76,2.744050,,2.985119e-03,610690.5,6.472
77,2.730588,,2.984282e-03,610799.1,6.472
78,2.733319,,2.983423e-03,610241.1,6.472
79,2.771752,,2.982541e-03,610898.8,6.472
80,2.757846,,2.981636e-03,609111.3,6.472
81,2.709072,,2.980709e-03,610651.8,6.472
82,2.750236,,2.979758e-03,611828.2,6.472
83,2.728562,,2.978786e-03,610617.9,6.472
84,2.702324,,2.977790e-03,610387.4,6.472
85,2.697811,,2.976772e-03,610360.3,6.472
86,2.592415,,2.975731e-03,609462.4,6.472
87,2.646859,,2.974668e-03,611690.0,6.472
88,2.586004,,2.973582e-03,609521.9,6.472
89,2.566344,,2.972474e-03,609085.6,6.472
90,2.565880,,2.971343e-03,610387.4,6.472
91,2.600646,,2.970189e-03,611065.9,6.472
92,2.527337,,2.969014e-03,609692.2,6.472
93,2.583277,,2.967815e-03,611674.4,6.472
94,2.661681,,2.966594e-03,609258.4,6.472
95,2.641011,,2.965351e-03,610502.7,6.472
96,2.564122,,2.964085e-03,609135.6,6.472
97,2.516221,,2.962797e-03,610894.8,6.472
98,2.523205,,2.961486e-03,610049.4,6.472
99,2.434099,,2.960154e-03,611526.7,6.472
100,2.527401,2.551409,2.958798e-03,607764.5,6.472
101,2.498305,,2.957421e-03,604738.0,6.472
102,2.533028,,2.956021e-03,612398.0,6.472
103,2.481474,,2.954599e-03,613136.3,6.472
104,2.516214,,2.953155e-03,612647.8,6.472
105,2.443905,,2.951688e-03,610465.4,6.472
106,2.533948,,2.950200e-03,611784.7,6.472
107,2.460889,,2.948689e-03,612079.6,6.472
108,2.402959,,2.947156e-03,612282.7,6.472
109,2.396674,,2.945601e-03,611307.8,6.472
110,2.366359,,2.944023e-03,610748.9,6.472
111,2.347827,,2.942424e-03,610917.9,6.472
112,2.351825,,2.940803e-03,609411.1,6.472
113,2.405579,,2.939160e-03,609727.4,6.472
114,2.362966,,2.937495e-03,610358.3,6.472
115,2.375047,,2.935807e-03,608196.8,6.472
116,2.389565,,2.934098e-03,609172.0,6.472
117,2.388583,,2.932367e-03,610555.5,6.472
118,2.424794,,2.930615e-03,608515.3,6.472
119,2.339604,,2.928840e-03,610008.8,6.472
120,2.375903,,2.927044e-03,610926.7,6.472
121,2.338270,,2.925225e-03,610645.1,6.472
122,2.367987,,2.923386e-03,609365.8,6.472
123,2.322450,,2.921524e-03,608014.6,6.472
124,2.236643,,2.919641e-03,609606.4,6.472
125,2.374634,,2.917736e-03,610728.5,6.472
126,2.274446,,2.915809e-03,609983.1,6.472
127,2.319964,,2.913861e-03,609391.5,6.472
128,2.322462,,2.911891e-03,609461.7,6.472
129,2.342492,,2.909900e-03,609961.4,6.472
130,2.298717,,2.907888e-03,608958.1,6.472
131,2.353049,,2.905854e-03,609893.8,6.472
132,2.300498,,2.903798e-03,608402.8,6.472
133,2.329845,,2.901721e-03,608472.8,6.472
134,2.346739,,2.899623e-03,608627.1,6.472
135,2.223815,,2.897504e-03,608701.2,6.472
136,2.240079,,2.895363e-03,610846.6,6.472
137,2.198636,,2.893201e-03,609713.9,6.472
138,2.261014,,2.891018e-03,610429.4,6.472
139,2.223254,,2.888814e-03,610147.6,6.472
140,2.218267,,2.886588e-03,610448.4,6.472
141,2.244330,,2.884342e-03,609381.3,6.472
142,2.237635,,2.882074e-03,611144.7,6.472
143,2.287833,,2.879786e-03,610736.6,6.472
144,2.218158,,2.877476e-03,609563.8,6.472
145,2.231448,,2.875146e-03,610364.4,6.472
146,2.315389,,2.872795e-03,610119.2,6.472
147,2.229973,,2.870423e-03,610453.2,6.472
148,2.135409,,2.868030e-03,610641.0,6.472
149,2.157223,,2.865616e-03,610323.7,6.472
150,2.150915,2.214362,2.863182e-03,609485.4,6.472
151,2.178920,,2.860727e-03,607177.8,6.472
152,2.176255,,2.858251e-03,610556.2,6.472
153,2.121676,,2.855755e-03,610218.0,6.472
154,2.201788,,2.853238e-03,610035.2,6.472
