step,epoch,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,1,8.420005,8.416707,0.000000e+00,244631.5,4.867
1,1,8.416597,,2.500000e-05,985785.5,4.876
2,1,7.766593,,5.000000e-05,993923.2,4.876
3,1,7.106870,,7.500000e-05,992399.9,4.876
4,1,6.801428,,1.000000e-04,993032.7,4.876
5,1,6.508789,,1.250000e-04,994568.7,4.876
6,1,6.330337,,1.500000e-04,992713.5,4.876
7,1,6.103528,,1.750000e-04,994081.3,4.876
8,1,6.004138,,2.000000e-04,994489.6,4.876
9,1,5.828861,,2.250000e-04,994441.0,4.876
10,1,5.604085,,2.500000e-04,990942.0,4.876
11,1,5.335915,,2.750000e-04,984449.2,4.876
12,1,5.254313,,3.000000e-04,986549.7,4.876
13,1,4.968322,,3.250000e-04,991555.1,4.876
14,1,4.820569,,3.500000e-04,990007.0,4.876
15,1,4.534386,,3.750000e-04,991878.9,4.876
16,1,4.337416,,4.000000e-04,992618.5,4.876
17,1,4.230712,,4.250000e-04,992310.4,4.876
18,1,3.964560,,4.500000e-04,992726.1,4.876
19,1,3.806438,,4.750000e-04,990126.4,4.876
20,1,3.688524,,5.000000e-04,990279.8,4.876
21,1,3.520336,,5.250000e-04,984655.5,4.876
22,1,3.533327,,5.500000e-04,987040.4,4.876
23,1,3.313264,,5.750000e-04,991512.2,4.876
24,1,3.184177,,6.000000e-04,988831.7,4.876
25,1,3.181899,,6.250000e-04,992106.2,4.876
26,1,2.968968,,6.500000e-04,985817.3,4.876
27,1,2.884932,,6.750000e-04,991085.0,4.876
28,1,2.890517,,7.000000e-04,993472.4,4.876
29,1,2.798720,,7.250000e-04,992833.6,4.876
30,1,2.738941,,7.500000e-04,992244.1,4.876
31,1,2.822105,,7.750000e-04,994239.6,4.876
32,1,2.718661,,8.000000e-04,994367.2,4.876
33,1,2.754713,,8.250000e-04,990310.1,4.876
34,1,2.640199,,8.500000e-04,992220.8,4.876
35,1,2.632335,,8.750000e-04,993111.6,4.876
36,1,2.609422,,9.000000e-04,993725.6,4.876
