step,epoch,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,1,8.420005,8.416707,0.000000e+00,242379.0,4.867
1,1,8.416597,,7.500000e-05,986928.7,4.876
2,1,7.170904,,1.500000e-04,987646.8,4.876
3,1,6.601044,,2.250000e-04,986546.2,4.876
4,1,6.425272,,3.000000e-04,987297.4,4.876
5,1,6.122411,,3.750000e-04,986332.0,4.876
6,1,5.891864,,4.500000e-04,989825.1,4.876
7,1,5.575872,,5.250000e-04,987751.5,4.876
8,1,5.478373,,6.000000e-04,988122.5,4.876
9,1,5.005042,,6.750000e-04,987247.7,4.876
10,1,4.776420,,7.500000e-04,986886.2,4.876
11,1,4.309050,,8.250000e-04,986717.9,4.876
12,1,5.234432,,9.000000e-04,986220.5,4.876
13,1,4.218505,,9.750000e-04,988618.3,4.876
14,1,3.950540,,1.050000e-03,987437.5,4.876
15,1,3.687642,,1.125000e-03,987980.5,4.876
16,1,3.712700,,1.200000e-03,988143.9,4.876
17,1,3.692735,,1.275000e-03,984937.8,4.876
18,1,3.586258,,1.350000e-03,983985.8,4.876
19,1,3.442545,,1.425000e-03,988630.8,4.876
20,1,3.403501,,1.500000e-03,989953.5,4.876
21,1,3.478211,,1.575000e-03,985151.3,4.876
22,1,3.530797,,1.650000e-03,985177.8,4.876
23,1,3.241087,,1.725000e-03,985481.6,4.876
24,1,3.203885,,1.800000e-03,982993.5,4.876
25,1,3.143745,,1.875000e-03,984392.8,4.876
26,1,3.096529,,1.950000e-03,986355.0,4.876
27,1,2.983746,,2.025000e-03,987852.7,4.876
28,1,3.046526,,2.100000e-03,985988.8,4.876
29,1,2.946727,,2.175000e-03,984549.7,4.876
30,1,2.856254,,2.250000e-03,982322.5,4.876
31,1,2.913584,,2.325000e-03,982958.3,4.876
32,1,2.819946,,2.400000e-03,990492.1,4.876
33,1,2.806162,,2.475000e-03,986942.9,4.876
34,1,2.740135,,2.550000e-03,985280.2,4.876
35,1,2.687796,,2.625000e-03,988115.4,4.876
36,1,2.746620,,2.700000e-03,988703.7,4.876
37,1,2.663183,,2.775000e-03,984486.2,4.876
38,1,2.669596,,2.850000e-03,983934.7,4.876
39,1,2.656280,,2.925000e-03,981198.7,4.876
40,1,2.555278,,3.000000e-03,986806.5,4.876
41,1,2.722720,,2.999988e-03,985029.5,4.876
42,1,2.679881,,2.999954e-03,986884.4,4.876
43,1,2.669594,,2.999896e-03,992210.1,4.876
44,1,2.619130,,2.999816e-03,992688.4,4.876
45,1,2.566555,,2.999712e-03,989677.2,4.876
46,1,2.472962,,2.999586e-03,985764.3,4.876
47,1,2.574195,,2.999436e-03,987348.8,4.876
48,1,2.419526,,2.999264e-03,987407.3,4.876
49,1,2.497663,,2.999068e-03,988534.8,4.876
50,1,2.413005,2.466667,2.998850e-03,988995.4,4.876
51,1,2.374432,,2.998608e-03,976704.7,4.876
52,1,2.404515,,2.998344e-03,987386.0,4.876
53,1,2.430923,,2.998056e-03,988286.0,4.876
54,1,2.420871,,2.997746e-03,986712.6,4.876
55,1,2.356876,,2.997413e-03,985790.8,4.876
56,1,2.391243,,2.997056e-03,986980.1,4.876
57,1,2.296486,,2.996677e-03,984768.4,4.876
58,1,2.269047,,2.996275e-03,986213.5,4.876
59,1,2.257077,,2.995849e-03,990642.0,4.876
60,1,2.322677,,2.995401e-03,992835.4,4.876
61,1,2.238548,,2.994930e-03,988387.2,4.876
62,1,2.242261,,2.994436e-03,988097.7,4.876
63,1,2.249389,,2.993919e-03,987799.4,4.876
64,1,2.246395,,2.993379e-03,988853.0,4.876
65,1,2.255356,,2.992817e-03,986758.7,4.876
66,1,2.179961,,2.992231e-03,984884.8,4.876
67,1,2.186751,,2.991623e-03,986356.8,4.876
68,1,2.196207,,2.990991e-03,984930.7,4.876
69,1,2.129323,,2.990337e-03,984909.5,4.876
70,1,2.163468,,2.989660e-03,984347.0,4.876
71,1,2.224022,,2.988960e-03,985248.4,4.876
72,1,2.142325,,2.988237e-03,985748.4,4.876
73,1,2.196749,,2.987492e-03,990688.5,4.876
74,1,2.153657,,2.986724e-03,990920.6,4.876
75,1,2.161749,,2.985933e-03,987230.0,4.876
76,1,2.111370,,2.985119e-03,986629.4,4.876
77,1,2.118539,,2.984282e-03,986156.8,4.876
78,1,2.092773,,2.983423e-03,992416.0,4.876
79,1,2.126915,,2.982541e-03,992063.2,4.876
80,1,2.051194,,2.981636e-03,987231.8,4.876
81,1,1.975603,,2.980709e-03,989944.6,4.876
82,1,2.113585,,2.979758e-03,987522.6,4.876
83,1,2.068670,,2.978786e-03,989593.5,4.876
84,1,2.037250,,2.977790e-03,990838.4,4.876
85,1,2.042184,,2.976772e-03,987488.9,4.876
86,1,1.962525,,2.975731e-03,987368.3,4.876
87,1,1.990845,,2.974668e-03,991757.2,4.876
88,1,1.925250,,2.973582e-03,991943.3,4.876
89,1,1.949374,,2.972474e-03,988755.2,4.876
90,1,1.913552,,2.971343e-03,985059.5,4.876
91,1,1.955750,,2.970189e-03,984077.4,4.876
92,1,1.909817,,2.969014e-03,985499.2,4.876
93,1,1.918394,,2.967815e-03,989941.0,4.876
94,1,1.956138,,2.966594e-03,990681.3,4.876
95,1,1.973641,,2.965351e-03,988239.8,4.876
96,1,1.933195,,2.964085e-03,987455.2,4.876
97,1,1.879726,,2.962797e-03,988698.3,4.876
98,1,1.881907,,2.961486e-03,991353.0,4.876
99,1,1.816710,,2.960154e-03,988012.4,4.876
100,1,1.918607,1.901106,2.958798e-03,981540.3,4.876
101,1,1.837938,,2.957421e-03,986171.0,4.876
102,1,1.861481,,2.956021e-03,988789.0,4.876
103,1,1.846330,,2.954599e-03,991959.4,4.876
104,1,1.895413,,2.953155e-03,992849.8,4.876
105,1,1.833769,,2.951688e-03,988557.9,4.876
106,1,1.870011,,2.950200e-03,989433.2,4.876
107,1,1.829795,,2.948689e-03,993508.3,4.876
108,1,1.813215,,2.947156e-03,989363.8,4.876
109,1,1.829185,,2.945601e-03,986641.8,4.876
110,1,1.806756,,2.944023e-03,987212.3,4.876
111,1,1.780051,,2.942424e-03,988709.0,4.876
112,1,1.779533,,2.940803e-03,989415.4,4.876
113,1,1.806666,,2.939160e-03,985928.7,4.876
114,1,1.796178,,2.937495e-03,990281.6,4.876
115,1,1.803109,,2.935807e-03,987474.7,4.876
116,1,1.825940,,2.934098e-03,984124.9,4.876
117,1,1.829021,,2.932367e-03,987602.4,4.876
118,1,1.844592,,2.930615e-03,987646.8,4.876
119,1,1.760725,,2.928840e-03,989620.2,4.876
120,1,1.813083,,2.927044e-03,990183.5,4.876
121,1,1.790057,,2.925225e-03,989802.0,4.876
122,1,1.783410,,2.923386e-03,992489.5,4.876
123,1,1.768411,,2.921524e-03,987756.8,4.876
124,1,1.642260,,2.919641e-03,989025.6,4.876
125,1,1.782326,,2.917736e-03,984299.4,4.876
126,1,1.717304,,2.915809e-03,985109.0,4.876
127,1,1.747759,,2.913861e-03,989826.9,4.876
128,1,1.751086,,2.911891e-03,989340.6,4.876
129,1,1.775791,,2.909900e-03,991642.7,4.876
130,1,1.763114,,2.907888e-03,989406.5,4.876
131,1,1.781240,,2.905854e-03,986606.4,4.876
132,1,1.772939,,2.903798e-03,991049.2,4.876
133,1,1.793912,,2.901721e-03,985409.1,4.876
134,1,1.809173,,2.899623e-03,989853.7,4.876
135,1,1.707516,,2.897504e-03,991481.8,4.876
136,1,1.729157,,2.895363e-03,987836.7,4.876
137,1,1.674018,,2.893201e-03,988433.5,4.876
